LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 131.0, 8, 29.0, 127.0, 256, 63.0, 189.0, 64, -263.0, -1.0, 4, -263.0, -1.0, 256, 189.0, 190.0, 64,
1, 33.0, 321.0, 16, 29.0, 317.0, 512, 63.0, 379.0, 128, -263.0, -1.0, 4, -263.0, -1.0, 512, 379.0, 382.0, 128,
2, 33.0, 135.0, 16, 25.0, 127.0, 512, 63.0, 189.0, 64, -263.0, -1.0, 8, -263.0, -1.0, 512, 189.0, 190.0, 64,
3, 33.0, 325.0, 32, 25.0, 317.0, 1024, 63.0, 379.0, 128, -263.0, -1.0, 8, -263.0, -1.0, 1024, 379.0, 382.0, 128,
4, 33.0, 143.0, 32, 17.0, 127.0, 1024, 63.0, 189.0, 64, -263.0, -1.0, 16, -263.0, -1.0, 1024, 189.0, 190.0, 64,
5, 33.0, 333.0, 64, 17.0, 317.0, 2048, 63.0, 379.0, 128, -263.0, -1.0, 16, -263.0, -1.0, 2048, 379.0, 382.0, 128,
6, 33.0, 159.0, 64, 1.0, 127.0, 2048, 63.0, 189.0, 64, -263.0, -1.0, 32, -263.0, -1.0, 2048, 189.0, 190.0, 64,
7, 33.0, 349.0, 128, 1.0, 317.0, 4096, 63.0, 379.0, 128, -263.0, -1.0, 32, -525.0, -1.0, 4096, 379.0, 382.0, 128,
8, 33.0, 349.0, 128, 1.0, 317.0, 4096, 63.0, 379.0, 128, -263.0, -1.0, 64, -525.0, -1.0, 4096, 379.0, 382.0, 128,
9, 33.0, 729.0, 256, 1.0, 697.0, 8192, 63.0, 759.0, 256, -263.0, -1.0, 64, -1049.0, -1.0, 8192, 759.0, 766.0, 256,
10, 33.0, 1489.0, 512, 1.0, 1457.0, 16384, 63.0, 1519.0, 512, -263.0, -1.0, 128, -1835.0, -1.0, 16384, 1519.0, 1534.0, 512,
11, 33.0, 133.0, 16, 29.0, 128.0, 256, 63.0, 191.0, 128, -263.0, -1.0, 8, -263.0, -1.0, 256, 191.0, 194.0, 128,
12, 33.0, 325.0, 32, 29.0, 320.0, 512, 63.0, 383.0, 256, -263.0, -1.0, 8, -263.0, -1.0, 512, 383.0, 390.0, 256,
13, 33.0, 137.0, 32, 25.0, 128.0, 512, 63.0, 191.0, 128, -263.0, -1.0, 16, -263.0, -1.0, 512, 191.0, 194.0, 128,
14, 33.0, 329.0, 64, 25.0, 320.0, 1024, 63.0, 383.0, 256, -263.0, -1.0, 16, -263.0, -1.0, 1024, 383.0, 390.0, 256,
15, 33.0, 145.0, 64, 17.0, 128.0, 1024, 63.0, 191.0, 128, -263.0, -1.0, 32, -263.0, -1.0, 1024, 191.0, 194.0, 128,
16, 33.0, 337.0, 128, 17.0, 320.0, 2048, 63.0, 383.0, 256, -263.0, -1.0, 32, -263.0, -1.0, 2048, 383.0, 390.0, 256,
17, 33.0, 161.0, 128, 1.0, 128.0, 2048, 63.0, 191.0, 128, -263.0, -1.0, 64, -263.0, -1.0, 2048, 191.0, 194.0, 128,
18, 33.0, 353.0, 256, 1.0, 320.0, 4096, 63.0, 383.0, 256, -263.0, -1.0, 64, -525.0, -1.0, 4096, 383.0, 390.0, 256,
19, 33.0, 353.0, 256, 1.0, 320.0, 4096, 63.0, 383.0, 256, -263.0, -1.0, 128, -525.0, -1.0, 4096, 383.0, 390.0, 256,
20, 33.0, 737.0, 512, 1.0, 704.0, 8192, 63.0, 767.0, 512, -263.0, -1.0, 128, -1049.0, -1.0, 8192, 767.0, 782.0, 512,
21, 33.0, 1505.0, 1024, 1.0, 1472.0, 16384, 63.0, 1535.0, 1024, -263.0, -1.0, 256, -1835.0, -1.0, 16384, 1535.0, 1566.0, 1024,
22, 33.0, 135.0, 24, 29.0, 129.0, 256, 63.0, 193.0, 192, -263.0, -1.0, 12, -263.0, -1.0, 256, 193.0, 198.0, 192,
23, 33.0, 329.0, 48, 29.0, 323.0, 512, 63.0, 387.0, 384, -263.0, -1.0, 12, -263.0, -1.0, 512, 387.0, 398.0, 384,
