Layer,M,N,K,
panel_0,1,64,4,
panel_1,1,128,4,
panel_2,1,64,8,
panel_3,1,128,8,
panel_4,1,64,16,
panel_5,1,128,16,
panel_6,1,64,32,
panel_7,1,128,32,
panel_8,1,64,64,
panel_9,1,128,64,
panel_10,1,128,128,
panel_11,2,64,4,
panel_12,2,128,4,
panel_13,2,64,8,
panel_14,2,128,8,
panel_15,2,64,16,
panel_16,2,128,16,
panel_17,2,64,32,
panel_18,2,128,32,
panel_19,2,64,64,
panel_20,2,128,64,
panel_21,2,128,128,
panel_22,3,64,4,
panel_23,3,128,4,
panel_24,3,64,8,
panel_25,3,128,8,
panel_26,3,64,16,
panel_27,3,128,16,
panel_28,3,64,32,
panel_29,3,128,32,
panel_30,3,64,64,
panel_31,3,128,64,
panel_32,3,128,128,
panel_33,4,64,4,
panel_34,4,128,4,
panel_35,4,64,8,
panel_36,4,128,8,
panel_37,4,64,16,
panel_38,4,128,16,
panel_39,4,64,32,
panel_40,4,128,32,
panel_41,4,64,64,
panel_42,4,128,64,
panel_43,4,128,128,
panel_44,5,64,4,
panel_45,5,128,4,
panel_46,5,64,8,
panel_47,5,128,8,
panel_48,5,64,16,
panel_49,5,128,16,
panel_50,5,64,32,
panel_51,5,128,32,
panel_52,5,64,64,
panel_53,5,128,64,
panel_54,5,128,128,
panel_55,6,64,4,
panel_56,6,128,4,
panel_57,6,64,8,
panel_58,6,128,8,
panel_59,6,64,16,
panel_60,6,128,16,
panel_61,6,64,32,
panel_62,6,128,32,
panel_63,6,64,64,
panel_64,6,128,64,
panel_65,6,128,128,
panel_66,7,64,4,
panel_67,7,128,4,
panel_68,7,64,8,
panel_69,7,128,8,
panel_70,7,64,16,
panel_71,7,128,16,
panel_72,7,64,32,
panel_73,7,128,32,
panel_74,7,64,64,
panel_75,7,128,64,
panel_76,7,128,128,
panel_77,8,64,4,
panel_78,8,128,4,
panel_79,8,64,8,
panel_80,8,128,8,
panel_81,8,64,16,
panel_82,8,128,16,
panel_83,8,64,32,
panel_84,8,128,32,
panel_85,8,64,64,
panel_86,8,128,64,
panel_87,8,128,128,
panel_88,9,64,4,
panel_89,9,128,4,
panel_90,9,64,8,
panel_91,9,128,8,
panel_92,9,64,16,
panel_93,9,128,16,
panel_94,9,64,32,
panel_95,9,128,32,
panel_96,9,64,64,
panel_97,9,128,64,
panel_98,9,128,128,
panel_99,10,64,4,
panel_100,10,128,4,
panel_101,10,64,8,
panel_102,10,128,8,
panel_103,10,64,16,
panel_104,10,128,16,
panel_105,10,64,32,
panel_106,10,128,32,
panel_107,10,64,64,
panel_108,10,128,64,
panel_109,10,128,128,
panel_110,11,64,4,
panel_111,11,128,4,
panel_112,11,64,8,
panel_113,11,128,8,
panel_114,11,64,16,
panel_115,11,128,16,
panel_116,11,64,32,
panel_117,11,128,32,
panel_118,11,64,64,
panel_119,11,128,64,
panel_120,11,128,128,
panel_121,12,64,4,
panel_122,12,128,4,
panel_123,12,64,8,
panel_124,12,128,8,
panel_125,12,64,16,
panel_126,12,128,16,
panel_127,12,64,32,
panel_128,12,128,32,
panel_129,12,64,64,
panel_130,12,128,64,
panel_131,12,128,128,
panel_132,13,64,4,
panel_133,13,128,4,
panel_134,13,64,8,
panel_135,13,128,8,
panel_136,13,64,16,
panel_137,13,128,16,
panel_138,13,64,32,
panel_139,13,128,32,
panel_140,13,64,64,
panel_141,13,128,64,
panel_142,13,128,128,
panel_143,14,64,4,
panel_144,14,128,4,
panel_145,14,64,8,
panel_146,14,128,8,
panel_147,14,64,16,
panel_148,14,128,16,
panel_149,14,64,32,
panel_150,14,128,32,
panel_151,14,64,64,
panel_152,14,128,64,
panel_153,14,128,128,
panel_154,15,64,4,
panel_155,15,128,4,
panel_156,15,64,8,
panel_157,15,128,8,
panel_158,15,64,16,
panel_159,15,128,16,
panel_160,15,64,32,
panel_161,15,128,32,
panel_162,15,64,64,
panel_163,15,128,64,
panel_164,15,128,128,
panel_165,16,64,4,
panel_166,16,128,4,
panel_167,16,64,8,
panel_168,16,128,8,
panel_169,16,64,16,
panel_170,16,128,16,
panel_171,16,64,32,
panel_172,16,128,32,
panel_173,16,64,64,
panel_174,16,128,64,
panel_175,16,128,128,
panel_176,17,64,4,
panel_177,17,128,4,
panel_178,17,64,8,
panel_179,17,128,8,
panel_180,17,64,16,
panel_181,17,128,16,
panel_182,17,64,32,
panel_183,17,128,32,
panel_184,17,64,64,
panel_185,17,128,64,
panel_186,17,128,128,
panel_187,18,64,4,
panel_188,18,128,4,
panel_189,18,64,8,
panel_190,18,128,8,
panel_191,18,64,16,
panel_192,18,128,16,
panel_193,18,64,32,
panel_194,18,128,32,
panel_195,18,64,64,
panel_196,18,128,64,
panel_197,18,128,128,
panel_198,19,64,4,
panel_199,19,128,4,
panel_200,19,64,8,
panel_201,19,128,8,
panel_202,19,64,16,
panel_203,19,128,16,
panel_204,19,64,32,
panel_205,19,128,32,
panel_206,19,64,64,
panel_207,19,128,64,
panel_208,19,128,128,
panel_209,20,64,4,
panel_210,20,128,4,
panel_211,20,64,8,
panel_212,20,128,8,
panel_213,20,64,16,
panel_214,20,128,16,
panel_215,20,64,32,
panel_216,20,128,32,
panel_217,20,64,64,
panel_218,20,128,64,
panel_219,20,128,128,
panel_220,21,64,4,
panel_221,21,128,4,
panel_222,21,64,8,
panel_223,21,128,8,
panel_224,21,64,16,
panel_225,21,128,16,
panel_226,21,64,32,
panel_227,21,128,32,
panel_228,21,64,64,
panel_229,21,128,64,
panel_230,21,128,128,
panel_231,22,64,4,
panel_232,22,128,4,
panel_233,22,64,8,
panel_234,22,128,8,
panel_235,22,64,16,
panel_236,22,128,16,
panel_237,22,64,32,
panel_238,22,128,32,
panel_239,22,64,64,
panel_240,22,128,64,
panel_241,22,128,128,
panel_242,23,64,4,
panel_243,23,128,4,
panel_244,23,64,8,
panel_245,23,128,8,
panel_246,23,64,16,
panel_247,23,128,16,
panel_248,23,64,32,
panel_249,23,128,32,
panel_250,23,64,64,
panel_251,23,128,64,
panel_252,23,128,128,
panel_253,24,64,4,
