LayerID, Total Cycles (incl. prefetch), Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 2059, 1471, 0, 4.350781781101292, 100.0, 3.3333333333333366,
1, 7977, 5887, 0, 4.348564633939188, 100.0, 3.3333333333333255,
2, 2187, 1535, 0, 8.338762214983714, 100.0, 6.4516129032258025,
3, 8489, 6143, 0, 8.334689890932768, 100.0, 6.451612903225806,
4, 2315, 1599, 0, 12.007504690431519, 100.0, 9.375,
5, 9001, 6399, 0, 12.001875293014534, 100.0, 9.375,
6, 2443, 1663, 0, 15.393866506313891, 100.0, 12.121212121212112,
7, 9513, 6655, 0, 15.386927122464312, 100.0, 12.121212121212112,
8, 2571, 1727, 0, 18.529241459177765, 100.0, 14.705882352941183,
9, 10025, 6911, 0, 18.521198090001448, 100.0, 14.705882352941241,
10, 2699, 1791, 0, 21.440536013400337, 100.0, 17.142857142857135,
11, 10537, 7167, 0, 21.431561322729177, 100.0, 17.142857142857096,
12, 2827, 1855, 0, 24.150943396226417, 100.0, 19.444444444444457,
13, 11049, 7423, 0, 24.14118281018456, 100.0, 19.444444444444343,
14, 2955, 1919, 0, 26.680562793121418, 100.0, 21.621621621621593,
15, 11561, 7679, 0, 26.670139341060032, 100.0, 21.621621621621706,
16, 3083, 1983, 0, 29.046898638426626, 100.0, 23.684210526315763,
17, 12073, 7935, 0, 29.035916824196597, 100.0, 23.684210526315756,
18, 3211, 2047, 0, 31.265266243282852, 100.0, 25.641025641025593,
19, 12585, 8191, 0, 31.253815162983763, 100.0, 25.64102564102558,
20, 3339, 2111, 0, 33.34912363808621, 100.0, 27.500000000000007,
21, 13097, 8447, 0, 33.337279507517465, 100.0, 27.499999999999964,
22, 3467, 2175, 0, 35.310344827586206, 100.0, 29.268292682926845,
23, 13609, 8703, 0, 35.29817304377801, 100.0, 29.268292682926756,
24, 3595, 2239, 0, 37.15944618133095, 100.0, 30.952380952380988,
25, 14121, 8959, 0, 37.14700301372921, 100.0, 30.95238095238101,
26, 3723, 2303, 0, 38.90577507598784, 100.0, 32.55813953488375,
27, 14633, 9215, 0, 38.893109061313076, 100.0, 32.55813953488356,
28, 3851, 2367, 0, 40.55766793409379, 100.0, 34.09090909090909,
29, 15145, 9471, 0, 40.54482103262591, 100.0, 34.09090909090924,
30, 3979, 2431, 0, 42.122583299053886, 100.0, 35.55555555555553,
31, 15657, 9727, 0, 42.109591857715635, 100.0, 35.55555555555546,
32, 4107, 2495, 0, 43.607214428857716, 100.0, 36.95652173913045,
33, 16169, 9983, 0, 43.59410998697786, 100.0, 36.95652173913023,
34, 4235, 2559, 0, 45.01758499413833, 100.0, 38.297872340425585,
35, 16681, 10239, 0, 45.00439496044535, 100.0, 38.29787234042543,
36, 4363, 2623, 0, 46.35913076629813, 100.0, 39.5833333333333,
37, 17193, 10495, 0, 46.345878989995235, 100.0, 39.58333333333322,
38, 2245, 1343, 0, 47.65450483991065, 100.0, 40.816326530612216,
39, 4491, 2687, 0, 47.63676963155936, 100.0, 40.816326530612216,
40, 17705, 10751, 0, 47.623476885871085, 100.0, 40.81632653061248,
41, 4619, 2751, 0, 48.85496183206107, 100.0, 42.000000000000064,
42, 18217, 11007, 0, 48.841646225129466, 100.0, 42.00000000000014,
43, 4747, 2815, 0, 50.01776198934281, 100.0, 43.13725490196073,
44, 18729, 11263, 0, 50.00443931456983, 100.0, 43.13725490196095,
45, 4875, 2879, 0, 51.128864188954495, 100.0, 44.23076923076926,
46, 19241, 11519, 0, 51.11554822467228, 100.0, 44.23076923076932,
47, 5003, 2943, 0, 52.19164118246687, 100.0, 45.2830188679246,
48, 19753, 11775, 0, 52.17834394904459, 100.0, 45.28301886792442,
49, 5131, 3007, 0, 53.20917858330562, 100.0, 46.29629629629626,
50, 20265, 12031, 0, 53.19591056437536, 100.0, 46.29629629629621,
51, 5259, 3071, 0, 54.18430478671443, 100.0, 47.27272727272727,
52, 20777, 12287, 0, 54.17107512004558, 100.0, 47.272727272727195,
53, 5387, 3135, 0, 55.119617224880386, 100.0, 48.21428571428575,
54, 21289, 12543, 0, 55.10643386749582, 100.0, 48.21428571428584,
55, 5515, 3199, 0, 56.01750547045952, 100.0, 49.12280701754384,
56, 21801, 12799, 0, 56.00437534182358, 100.0, 49.12280701754384,
57, 5643, 3263, 0, 56.88017162120748, 100.0, 50.0,
58, 22313, 13055, 0, 56.86710072769054, 100.0, 50.0,
59, 5771, 3327, 0, 57.70964833183048, 100.0, 50.84745762711867,
60, 22825, 13311, 0, 57.69664187514086, 100.0, 50.847457627118445,
61, 5899, 3391, 0, 58.50781480389266, 100.0, 51.666666666666636,
62, 23337, 13567, 0, 58.49487727574261, 100.0, 51.666666666666636,
63, 6027, 3455, 0, 59.27641099855282, 100.0, 52.45901639344266,
64, 23849, 13823, 0, 59.26354626347392, 100.0, 52.459016393442305,
65, 6155, 3519, 0, 60.01705029838022, 100.0, 53.22580645161283,
66, 24361, 14079, 0, 60.00426166631153, 100.0, 53.225806451612826,
67, 1701, 895, 0, 60.78212290502793, 100.0, 53.96825396825397,
68, 6283, 3583, 0, 60.731230812168576, 100.0, 53.96825396825403,
69, 24873, 14335, 0, 60.71852110219742, 100.0, 53.96825396825412,
70, 6411, 3647, 0, 61.42034548944338, 100.0, 54.6875,
71, 25385, 14591, 0, 61.40771708587486, 100.0, 54.6875,
72, 6539, 3711, 0, 62.085691188358936, 100.0, 55.38461538461543,
73, 25897, 14847, 0, 62.07314609011922, 100.0, 55.38461538461539,
74, 6667, 3775, 0, 62.728476821192054, 100.0, 56.060606060606155,
75, 26409, 15103, 0, 62.71601668542674, 100.0, 56.06060606060621,
76, 1829, 959, 0, 63.39937434827946, 100.0, 56.71641791044777,
77, 6795, 3839, 0, 63.34983068507424, 100.0, 56.71641791044776,
78, 26921, 15359, 0, 63.33745686568136, 100.0, 56.71641791044798,
79, 1861, 975, 0, 64.0, 100.0, 57.35294117647059,
80, 6923, 3903, 0, 63.950807071483474, 100.0, 57.35294117647059,
81, 27433, 15615, 0, 63.938520653218056, 100.0, 57.35294117647059,
82, 1893, 991, 0, 64.58123107971745, 100.0, 57.97101449275364,
83, 7051, 3967, 0, 64.53239223594656, 100.0, 57.97101449275364,
84, 27945, 15871, 0, 64.5201940646462, 100.0, 57.97101449275341,
85, 7179, 4031, 0, 65.09550979905731, 100.0, 58.5714285714286,
86, 28457, 16127, 0, 65.08340050846407, 100.0, 58.57142857142882,
87, 1957, 1023, 0, 65.6891495601173, 100.0, 59.154929577464785,
88, 7307, 4095, 0, 65.64102564102564, 100.0, 59.154929577464785,
89, 28969, 16383, 0, 65.629005676616, 100.0, 59.15492957746461,
90, 7435, 4159, 0, 66.16975234431354, 100.0, 59.722222222222165,
91, 29481, 16639, 0, 66.15782198449426, 100.0, 59.722222222222555,
92, 2021, 1055, 0, 66.72985781990522, 100.0, 60.273972602739725,
93, 7563, 4223, 0, 66.68245323229931, 100.0, 60.27397260273971,
94, 29993, 16895, 0, 66.67061260728026, 100.0, 60.27397260273975,
95, 7691, 4287, 0, 67.17984604618614, 100.0, 60.8108108108108,
96, 30505, 17151, 0, 67.16809515480146, 100.0, 60.81081081081076,
97, 2085, 1087, 0, 67.70929162833487, 100.0, 61.33333333333333,
98, 7819, 4351, 0, 67.6626062974029, 100.0, 61.333333333333265,
99, 31017, 17407, 0, 67.65094502211754, 100.0, 61.33333333333331,
100, 7947, 4415, 0, 68.13137032842582, 100.0, 61.842105263157954,
101, 31529, 17663, 0, 68.11979844873464, 100.0, 61.84210526315801,
102, 2149, 1119, 0, 68.63270777479893, 100.0, 62.337662337662344,
103, 8075, 4479, 0, 68.58673811118554, 100.0, 62.337662337662245,
104, 32041, 17919, 0, 68.5752553155868, 100.0, 62.33766233766262,
105, 8203, 4543, 0, 69.02927580893683, 100.0, 62.82051282051285,
106, 8203, 4543, 0, 69.02927580893683, 100.0, 62.82051282051285,
107, 32553, 18175, 0, 69.01788170563961, 100.0, 62.82051282051292,
108, 2213, 1151, 0, 69.50477845351868, 100.0, 63.291139240506325,
109, 8331, 4607, 0, 69.459518124593, 100.0, 63.291139240506325,
110, 8331, 4607, 0, 69.459518124593, 100.0, 63.291139240506325,
111, 33065, 18431, 0, 69.4482122510987, 100.0, 63.29113924050661,
112, 8459, 4671, 0, 69.87797045600514, 100.0, 63.750000000000014,
113, 8459, 4671, 0, 69.87797045600514, 100.0, 63.750000000000014,
114, 33577, 18687, 0, 69.86675228768662, 100.0, 63.74999999999991,
115, 2277, 1183, 0, 70.32967032967034, 100.0, 64.19753086419753,
116, 8587, 4735, 0, 70.28511087645195, 100.0, 64.19753086419749,
117, 8587, 4735, 0, 70.28511087645195, 100.0, 64.19753086419749,
118, 34089, 18943, 0, 70.27397983423955, 100.0, 64.19753086419747,
119, 8715, 4799, 0, 70.68139195665763, 100.0, 64.63414634146339,
120, 8715, 4799, 0, 70.68139195665763, 100.0, 64.63414634146339,
121, 34601, 19199, 0, 70.67034741392781, 100.0, 64.63414634146343,
