LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 9.0, 1465.0, 512, 1.0, 1457.0, 4096, 15.0, 1471.0, 512, -263.0, -1.0, 64, -525.0, -1.0, 4096, 1471.0, 1534.0, 512,
1, 9.0, 5881.0, 2048, 1.0, 5873.0, 16384, 15.0, 5887.0, 2048, -263.0, -1.0, 128, -1835.0, -1.0, 16384, 5887.0, 6142.0, 2048,
2, 9.0, 1529.0, 1024, 1.0, 1520.0, 4096, 15.0, 1535.0, 1024, -263.0, -1.0, 128, -525.0, -1.0, 4096, 1535.0, 1662.0, 1024,
3, 9.0, 6137.0, 4096, 1.0, 6128.0, 16384, 15.0, 6143.0, 4096, -263.0, -1.0, 256, -1835.0, -1.0, 16384, 6143.0, 6654.0, 4096,
4, 9.0, 1593.0, 1536, 1.0, 1583.0, 4096, 15.0, 1599.0, 1536, -263.0, -1.0, 192, -525.0, -1.0, 4096, 1599.0, 1790.0, 1536,
5, 9.0, 6393.0, 6144, 1.0, 6383.0, 16384, 15.0, 6399.0, 6144, -263.0, -1.0, 384, -1835.0, -1.0, 16384, 6399.0, 7166.0, 6144,
6, 9.0, 1657.0, 2048, 1.0, 1646.0, 4096, 15.0, 1663.0, 2048, -263.0, -1.0, 256, -525.0, -1.0, 4096, 1663.0, 1918.0, 2048,
7, 9.0, 6649.0, 8192, 1.0, 6638.0, 16384, 15.0, 6655.0, 8192, -263.0, -1.0, 512, -1835.0, -1.0, 16384, 6655.0, 7678.0, 8192,
8, 9.0, 1721.0, 2560, 1.0, 1709.0, 4096, 15.0, 1727.0, 2560, -263.0, -1.0, 320, -525.0, -1.0, 4096, 1727.0, 2046.0, 2560,
9, 9.0, 6905.0, 10240, 1.0, 6893.0, 16384, 15.0, 6911.0, 10240, -263.0, -1.0, 640, -1835.0, -1.0, 16384, 6911.0, 8190.0, 10240,
10, 9.0, 1785.0, 3072, 1.0, 1772.0, 4096, 15.0, 1791.0, 3072, -263.0, -1.0, 384, -525.0, -1.0, 4096, 1791.0, 2174.0, 3072,
11, 9.0, 7161.0, 12288, 1.0, 7148.0, 16384, 15.0, 7167.0, 12288, -263.0, -1.0, 768, -1835.0, -1.0, 16384, 7167.0, 8702.0, 12288,
12, 9.0, 1849.0, 3584, 1.0, 1835.0, 4096, 15.0, 1855.0, 3584, -263.0, -1.0, 448, -525.0, -1.0, 4096, 1855.0, 2302.0, 3584,
13, 9.0, 7417.0, 14336, 1.0, 7403.0, 16384, 15.0, 7423.0, 14336, -263.0, -1.0, 896, -1835.0, -1.0, 16384, 7423.0, 9214.0, 14336,
14, 9.0, 1913.0, 4096, 1.0, 1898.0, 4096, 15.0, 1919.0, 4096, -263.0, -1.0, 512, -525.0, -1.0, 4096, 1919.0, 2430.0, 4096,
15, 9.0, 7673.0, 16384, 1.0, 7658.0, 16384, 15.0, 7679.0, 16384, -263.0, -1.0, 1024, -1835.0, -1.0, 16384, 7679.0, 9726.0, 16384,
16, 9.0, 1977.0, 4608, 1.0, 1961.0, 4096, 15.0, 1983.0, 4608, -263.0, -1.0, 576, -525.0, -1.0, 4096, 1983.0, 2558.0, 4608,
17, 9.0, 7929.0, 18432, 1.0, 7913.0, 16384, 15.0, 7935.0, 18432, -263.0, -1.0, 1152, -1835.0, -1.0, 16384, 7935.0, 10238.0, 18432,
18, 9.0, 2041.0, 5120, 1.0, 2024.0, 4096, 15.0, 2047.0, 5120, -263.0, -1.0, 640, -525.0, -1.0, 4096, 2047.0, 2686.0, 5120,
19, 9.0, 8185.0, 20480, 1.0, 8168.0, 16384, 15.0, 8191.0, 20480, -263.0, -1.0, 1280, -1835.0, -1.0, 16384, 8191.0, 10750.0, 20480,
20, 9.0, 2105.0, 5632, 1.0, 2087.0, 4096, 15.0, 2111.0, 5632, -263.0, -1.0, 704, -525.0, -1.0, 4096, 2111.0, 2814.0, 5632,
21, 9.0, 8441.0, 22528, 1.0, 8423.0, 16384, 15.0, 8447.0, 22528, -263.0, -1.0, 1408, -1835.0, -1.0, 16384, 8447.0, 11262.0, 22528,
22, 9.0, 2169.0, 6144, 1.0, 2150.0, 4096, 15.0, 2175.0, 6144, -263.0, -1.0, 768, -525.0, -1.0, 4096, 2175.0, 2942.0, 6144,
23, 9.0, 8697.0, 24576, 1.0, 8678.0, 16384, 15.0, 8703.0, 24576, -263.0, -1.0, 1536, -1835.0, -1.0, 16384, 8703.0, 11774.0, 24576,
24, 9.0, 2233.0, 6656, 1.0, 2213.0, 4096, 15.0, 2239.0, 6656, -263.0, -1.0, 832, -525.0, -1.0, 4096, 2239.0, 3070.0, 6656,
25, 9.0, 8953.0, 26624, 1.0, 8933.0, 16384, 15.0, 8959.0, 26624, -263.0, -1.0, 1664, -1835.0, -1.0, 16384, 8959.0, 12286.0, 26624,
26, 9.0, 2297.0, 7168, 1.0, 2276.0, 4096, 15.0, 2303.0, 7168, -263.0, -1.0, 896, -525.0, -1.0, 4096, 2303.0, 3198.0, 7168,
