Layer,M,N,K,
panel_0,1,64,64,
panel_1,1,128,128,
panel_2,2,64,64,
panel_3,2,128,128,
panel_4,3,64,64,
panel_5,3,128,128,
panel_6,4,64,64,
panel_7,4,128,128,
panel_8,5,64,64,
panel_9,5,128,128,
panel_10,6,64,64,
panel_11,6,128,128,
panel_12,7,64,64,
panel_13,7,128,128,
panel_14,8,64,64,
panel_15,8,128,128,
panel_16,9,64,64,
panel_17,9,128,128,
panel_18,10,64,64,
panel_19,10,128,128,
panel_20,11,64,64,
panel_21,11,128,128,
panel_22,12,64,64,
panel_23,12,128,128,
panel_24,13,64,64,
panel_25,13,128,128,
panel_26,14,64,64,
panel_27,14,128,128,
panel_28,15,64,64,
panel_29,15,128,128,
panel_30,16,64,64,
panel_31,16,128,128,
panel_32,17,64,64,
panel_33,17,128,128,
panel_34,18,64,64,
panel_35,18,128,128,
panel_36,19,64,64,
panel_37,19,128,128,
panel_38,20,64,32,
panel_39,20,64,64,
panel_40,20,128,128,
panel_41,21,64,64,
panel_42,21,128,128,
panel_43,22,64,64,
panel_44,22,128,128,
panel_45,23,64,64,
panel_46,23,128,128,
panel_47,24,64,64,
panel_48,24,128,128,
panel_49,25,64,64,
panel_50,25,128,128,
panel_51,26,64,64,
panel_52,26,128,128,
panel_53,27,64,64,
panel_54,27,128,128,
panel_55,28,64,64,
panel_56,28,128,128,
panel_57,29,64,64,
panel_58,29,128,128,
panel_59,30,64,64,
panel_60,30,128,128,
panel_61,31,64,64,
panel_62,31,128,128,
panel_63,32,64,64,
panel_64,32,128,128,
panel_65,33,64,64,
panel_66,33,128,128,
panel_67,34,64,16,
panel_68,34,64,64,
panel_69,34,128,128,
panel_70,35,64,64,
panel_71,35,128,128,
panel_72,36,64,64,
panel_73,36,128,128,
panel_74,37,64,64,
panel_75,37,128,128,
panel_76,38,64,16,
panel_77,38,64,64,
panel_78,38,128,128,
panel_79,39,64,16,
panel_80,39,64,64,
panel_81,39,128,128,
panel_82,40,64,16,
panel_83,40,64,64,
panel_84,40,128,128,
panel_85,41,64,64,
panel_86,41,128,128,
panel_87,42,64,16,
panel_88,42,64,64,
panel_89,42,128,128,
panel_90,43,64,64,
panel_91,43,128,128,
panel_92,44,64,16,
panel_93,44,64,64,
panel_94,44,128,128,
panel_95,45,64,64,
panel_96,45,128,128,
panel_97,46,64,16,
panel_98,46,64,64,
panel_99,46,128,128,
panel_100,47,64,64,
panel_101,47,128,128,
panel_102,48,64,16,
panel_103,48,64,64,
panel_104,48,128,128,
panel_105,49,128,32,
panel_106,49,64,64,
panel_107,49,128,128,
panel_108,50,64,16,
panel_109,50,128,32,
panel_110,50,64,64,
panel_111,50,128,128,
panel_112,51,128,32,
panel_113,51,64,64,
panel_114,51,128,128,
panel_115,52,64,16,
panel_116,52,128,32,
panel_117,52,64,64,
panel_118,52,128,128,
panel_119,53,128,32,
panel_120,53,64,64,
panel_121,53,128,128,
panel_122,54,64,16,
panel_123,54,128,32,
panel_124,54,64,64,
panel_125,54,128,128,
panel_126,55,128,32,
panel_127,55,64,64,
panel_128,55,128,128,
panel_129,56,64,16,
panel_130,56,128,32,
panel_131,56,64,64,
panel_132,56,128,128,
panel_133,57,64,64,
panel_134,57,128,128,
panel_135,58,64,16,
panel_136,58,128,32,
panel_137,58,64,64,
panel_138,58,128,128,
panel_139,59,64,16,
panel_140,59,128,32,
panel_141,59,64,64,
panel_142,59,128,128,
panel_143,60,64,16,
panel_144,60,128,32,
panel_145,60,64,64,
panel_146,60,128,128,
panel_147,61,128,32,
panel_148,61,64,64,
panel_149,61,128,128,
panel_150,62,64,16,
panel_151,62,128,32,
panel_152,62,64,64,
panel_153,62,128,128,
panel_154,63,64,16,
panel_155,63,128,32,
panel_156,63,64,64,
panel_157,63,128,128,
panel_158,64,64,16,
panel_159,64,64,32,
panel_160,64,128,32,
panel_161,64,64,64,
panel_162,64,128,128,
panel_163,65,64,16,
panel_164,65,64,32,
panel_165,65,128,32,
panel_166,65,64,64,
panel_167,65,128,128,
panel_168,66,64,16,
panel_169,66,128,32,
panel_170,66,64,64,
panel_171,66,128,128,
panel_172,67,64,16,
panel_173,67,128,32,
panel_174,67,64,64,
panel_175,67,128,128,
panel_176,68,64,16,
panel_177,68,128,32,
panel_178,68,64,64,
panel_179,68,128,128,
panel_180,69,128,32,
panel_181,69,64,64,
panel_182,69,128,128,
panel_183,70,64,16,
panel_184,70,128,16,
panel_185,70,128,32,
panel_186,70,64,64,
panel_187,70,128,128,
panel_188,71,128,16,
panel_189,71,64,32,
panel_190,71,128,32,
panel_191,71,64,64,
panel_192,71,128,128,
panel_193,72,64,16,
panel_194,72,64,32,
panel_195,72,128,32,
panel_196,72,64,64,
panel_197,72,128,128,
panel_198,73,64,16,
panel_199,73,64,32,
panel_200,73,128,32,
panel_201,73,64,64,
panel_202,73,128,128,
panel_203,74,64,16,
panel_204,74,128,16,
panel_205,74,64,32,
panel_206,74,128,32,
panel_207,74,64,64,
panel_208,74,128,128,
panel_209,75,128,32,
panel_210,75,64,64,
panel_211,75,128,128,
panel_212,76,64,16,
panel_213,76,128,32,
panel_214,76,64,64,
panel_215,76,128,128,
panel_216,77,64,32,
panel_217,77,128,32,
panel_218,77,64,64,
panel_219,77,128,128,
panel_220,78,64,8,
panel_221,78,64,16,
panel_222,78,64,32,
panel_223,78,128,32,
panel_224,78,64,64,
panel_225,78,128,128,
panel_226,79,128,32,
panel_227,79,64,64,
panel_228,79,128,128,
panel_229,80,64,8,
panel_230,80,64,16,
panel_231,80,128,16,
panel_232,80,64,32,
panel_233,80,128,32,
panel_234,80,64,64,
panel_235,80,128,128,
panel_236,81,64,32,
panel_237,81,128,32,
panel_238,81,64,64,
panel_239,81,128,128,
panel_240,82,64,8,
panel_241,82,64,16,
panel_242,82,128,32,
panel_243,82,64,64,
panel_244,82,128,128,
panel_245,83,64,8,
panel_246,83,128,32,
panel_247,83,64,64,
panel_248,83,128,128,
panel_249,84,64,8,
panel_250,84,64,16,
panel_251,84,128,16,
panel_252,84,128,32,
panel_253,84,64,64,
panel_254,84,128,128,
panel_255,85,64,16,
panel_256,85,128,32,
panel_257,85,64,64,
panel_258,85,128,128,
panel_259,86,64,8,
panel_260,86,64,16,
panel_261,86,128,16,
panel_262,86,128,32,
panel_263,86,64,64,
panel_264,86,128,128,
panel_265,87,64,8,
panel_266,87,64,16,
panel_267,87,128,32,
panel_268,87,64,64,
panel_269,87,128,128,
panel_270,88,64,8,
panel_271,88,64,16,
panel_272,88,128,16,
panel_273,88,128,32,
panel_274,88,64,64,
panel_275,88,128,128,
panel_276,89,64,16,
panel_277,89,128,32,
panel_278,89,64,64,
panel_279,89,128,128,
panel_280,90,64,8,
panel_281,90,64,16,
panel_282,90,128,16,
panel_283,90,128,32,
panel_284,90,64,64,
panel_285,90,128,128,
panel_286,91,128,32,
panel_287,91,64,64,
panel_288,91,128,128,
panel_289,92,64,8,
panel_290,92,64,16,
