{'config_id': 'cora_gcnii16', 'seed': 7, 'format': 'beicsr', 'slice_width': 64, 'requests': 36898, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_gcnii16_beicsr.trace'}
{'config_id': 'cora_gcnii16', 'seed': 7, 'format': 'xorflow', 'slice_width': 64, 'requests': 33250, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_gcnii16_xorflow.trace'}
{'config_id': 'cora_gcnii16', 'seed': 17, 'format': 'beicsr', 'slice_width': 64, 'requests': 35168, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_gcnii16_seed17_beicsr.trace'}
{'config_id': 'cora_gcnii16', 'seed': 17, 'format': 'xorflow', 'slice_width': 64, 'requests': 32452, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_gcnii16_seed17_xorflow.trace'}
{'config_id': 'cora_gcnii16', 'seed': 27, 'format': 'beicsr', 'slice_width': 64, 'requests': 34952, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_gcnii16_seed27_beicsr.trace'}
{'config_id': 'cora_gcnii16', 'seed': 27, 'format': 'xorflow', 'slice_width': 64, 'requests': 33132, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_gcnii16_seed27_xorflow.trace'}
{'config_id': 'pubmed_gcnii16', 'seed': 7, 'format': 'beicsr', 'slice_width': 128, 'requests': 405468, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/pubmed_gcnii16_beicsr.trace'}
{'config_id': 'pubmed_gcnii16', 'seed': 7, 'format': 'xorflow', 'slice_width': 128, 'requests': 342858, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/pubmed_gcnii16_xorflow.trace'}
{'config_id': 'pubmed_gcnii16', 'seed': 17, 'format': 'beicsr', 'slice_width': 128, 'requests': 453112, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/pubmed_gcnii16_seed17_beicsr.trace'}
{'config_id': 'pubmed_gcnii16', 'seed': 17, 'format': 'xorflow', 'slice_width': 128, 'requests': 362040, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/pubmed_gcnii16_seed17_xorflow.trace'}
{'config_id': 'pubmed_gcnii16', 'seed': 27, 'format': 'beicsr', 'slice_width': 128, 'requests': 438768, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/pubmed_gcnii16_seed27_beicsr.trace'}
{'config_id': 'pubmed_gcnii16', 'seed': 27, 'format': 'xorflow', 'slice_width': 128, 'requests': 353700, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/pubmed_gcnii16_seed27_xorflow.trace'}
{'config_id': 'cora_deepres28_w128', 'seed': 7, 'format': 'beicsr', 'slice_width': 128, 'requests': 86726, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_deepres28_w128_beicsr.trace'}
{'config_id': 'cora_deepres28_w128', 'seed': 7, 'format': 'xorflow', 'slice_width': 128, 'requests': 68464, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_deepres28_w128_xorflow.trace'}
{'config_id': 'cora_deepres28_w128', 'seed': 17, 'format': 'beicsr', 'slice_width': 128, 'requests': 81560, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_deepres28_w128_seed17_beicsr.trace'}
{'config_id': 'cora_deepres28_w128', 'seed': 17, 'format': 'xorflow', 'slice_width': 128, 'requests': 64160, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_deepres28_w128_seed17_xorflow.trace'}
{'config_id': 'cora_deepres28_w128', 'seed': 27, 'format': 'beicsr', 'slice_width': 128, 'requests': 83224, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_deepres28_w128_seed27_beicsr.trace'}
{'config_id': 'cora_deepres28_w128', 'seed': 27, 'format': 'xorflow', 'slice_width': 128, 'requests': 59280, 'trace_path': '/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_deepres28_w128_seed27_xorflow.trace'}
