config_id,seed,format,slice_width,requests,sampled_metadata_bytes,sampled_decode_cycles,descriptor_cycles,trace_path
cora_gcnii16,7,beicsr,64,36898,0,0,680,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_gcnii16_beicsr.trace
cora_gcnii16,7,xorflow,64,33250,59520,234,680,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_gcnii16_xorflow.trace
cora_gcnii16,17,beicsr,64,35168,0,0,680,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_gcnii16_seed17_beicsr.trace
cora_gcnii16,17,xorflow,64,32452,56512,224,680,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_gcnii16_seed17_xorflow.trace
cora_gcnii16,27,beicsr,64,34952,0,0,680,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_gcnii16_seed27_beicsr.trace
cora_gcnii16,27,xorflow,64,33132,54912,217,680,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_gcnii16_seed27_xorflow.trace
pubmed_gcnii16,7,beicsr,128,405468,0,0,4932,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/pubmed_gcnii16_beicsr.trace
pubmed_gcnii16,7,xorflow,128,342858,385856,1509,4932,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/pubmed_gcnii16_xorflow.trace
pubmed_gcnii16,17,beicsr,128,453112,0,0,4932,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/pubmed_gcnii16_seed17_beicsr.trace
pubmed_gcnii16,17,xorflow,128,362040,405248,1585,4932,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/pubmed_gcnii16_seed17_xorflow.trace
pubmed_gcnii16,27,beicsr,128,438768,0,0,4932,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/pubmed_gcnii16_seed27_beicsr.trace
pubmed_gcnii16,27,xorflow,128,353700,357952,1401,4932,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/pubmed_gcnii16_seed27_xorflow.trace
cora_deepres28_w128,7,beicsr,128,86726,0,0,1190,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_deepres28_w128_beicsr.trace
cora_deepres28_w128,7,xorflow,128,68464,272190,1067,1190,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_deepres28_w128_xorflow.trace
cora_deepres28_w128,17,beicsr,128,81560,0,0,1190,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_deepres28_w128_seed17_beicsr.trace
cora_deepres28_w128,17,xorflow,128,64160,244475,958,1190,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_deepres28_w128_seed17_xorflow.trace
cora_deepres28_w128,27,beicsr,128,83224,0,0,1190,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_deepres28_w128_seed27_beicsr.trace
cora_deepres28_w128,27,xorflow,128,59280,237951,933,1190,/home/rishabh/HPCA2/mosaic_delta_phase1/artifacts_safezone/dram/cora_deepres28_w128_seed27_xorflow.trace
