config_id,slice_width,anchor_bits,exception_bits,encoded_support_bits,beicsr_support_bits,support_ratio_to_beicsr,anchor_variant_mode,prototype_count,entropy_lower_bound_bits,exact_decode_pass
cora_gcnii16,32,126976,936960,1063936,2253056,0.47221906601522556,A1,8,629492,True
cora_gcnii16,64,99328,859136,958464,2253056,0.4254062038404727,A1,16,631727,True
cora_gcnii16,96,99328,859136,958464,2253056,0.4254062038404727,A1,16,631727,True
cora_gcnii16,128,99328,859136,958464,2253056,0.4254062038404727,A1,16,631727,True
pubmed_gcnii16,32,845824,6250496,7096320,16404544,0.43258258199679306,A1,8,4168986,True
pubmed_gcnii16,64,626176,5707776,6333952,16404544,0.38610960475341466,A1,16,4190028,True
pubmed_gcnii16,96,626176,5707776,6333952,16404544,0.38610960475341466,A1,16,4190028,True
pubmed_gcnii16,128,626176,5707776,6333952,16404544,0.38610960475341466,A1,16,4190028,True
cora_deepres28_w128,32,269824,5892096,6161920,8665600,0.7110782865583456,A1,16,4133680,True
cora_deepres28_w128,64,217600,5745664,5963264,8665600,0.6881536189069424,A1,16,4170971,True
cora_deepres28_w128,96,216064,5767680,5983744,8665600,0.6905169867060561,A1,16,4170498,True
cora_deepres28_w128,128,187904,5691392,5879296,8665600,0.6784638109305761,A1,16,4184994,True
chameleon_gcnii16,32,124928,796160,921088,1894464,0.48619979054761664,A1,8,532421,True
chameleon_gcnii16,64,104448,736256,840704,1894464,0.44376879159487853,A1,12,534877,True
chameleon_gcnii16,96,104448,736256,840704,1894464,0.44376879159487853,A1,12,534877,True
chameleon_gcnii16,128,104448,736256,840704,1894464,0.44376879159487853,A1,12,534877,True
