config_id,pair_start_layer,pair_end_layer,slice_width,tile_rows,edge_order,feature_cache_bytes,nodes,edges,pair_active_values,aggregation_active_values,aggregation_simd_cycles_8x16,aggregation_load_imbalance,selected_xorflow_tile_slices,total_tile_slices,anchor_variants,beicsr_support_bits,xorflow_support_bits,support_ratio_to_beicsr,xorflow_metadata_read_bytes,beicsr_feature_read_bytes,xorflow_feature_read_bytes,beicsr_writeback_bytes,xorflow_writeback_bytes,topology_bytes,beicsr_output_write_bytes,xorflow_output_write_bytes,beicsr_cache_hits,xorflow_cache_hits,beicsr_cache_misses,xorflow_cache_misses,beicsr_total_bytes,xorflow_total_bytes,traffic_reduction,support_decode_cycles,descriptor_cycles,beicsr_serialized_cycles,xorflow_serialized_cycles,xorflow_overlapped_cycles,serialized_speedup,double_buffered_speedup,exact_decode_pass,causal_deployable
cora_gcnii16,4,5,128,128,O0,524288,2708,10556,256060,1001901,8705,1.1133451512736012,22,22,"{""A2_CAUSAL_COHORT"": 22}",433280,205913,0.4752423375184638,26368,429376,369152,0,0,106120,858752,791040,19509,16699,6709,5768,1394248,1292680,0.07284787211457355,111,339,5786,5500,5389,1.052,1.0736685841529041,True,True
cora_gcnii16,6,7,128,128,O0,524288,2708,10556,258709,1013863,8827,1.114378396264134,22,22,"{""A2_CAUSAL_COHORT"": 22}",433280,188162,0.43427344903988185,24192,440128,373376,0,0,106120,880256,795136,20092,16958,6877,5834,1426504,1298824,0.08950553240649872,101,339,5912,5514,5413,1.0721799056945955,1.092185479401441,True,True
cora_gcnii16,8,9,128,128,O0,524288,2708,10556,262698,1031518,8990,1.115521698824803,22,22,"{""A2_CAUSAL_COHORT"": 22}",433280,186494,0.43042374446085674,24000,460992,379776,0,0,106120,921984,807552,21282,17350,7203,5934,1489096,1317448,0.11526993558507981,97,339,6156,5583,5486,1.1026329930145082,1.122129055778345,True,True
cora_gcnii16,10,11,128,128,O0,524288,2708,10556,272679,1070415,9319,1.1144936144936144,22,22,"{""A2_CAUSAL_COHORT"": 22}",433280,175292,0.40456979320531755,22528,496896,395008,0,0,106120,993792,835072,22978,18114,7764,6172,1596808,1358728,0.1490974494115761,95,339,6577,5742,5647,1.1454197143852316,1.1646892155126616,True,True
cora_gcnii16,12,13,128,128,O0,524288,2708,10556,277094,1087748,9473,1.114715956828023,22,22,"{""A2_CAUSAL_COHORT"": 22}",433280,164510,0.37968519202363366,21248,517056,407360,0,0,106120,1034112,857216,23774,18696,8079,6365,1657288,1391944,0.16010735611432658,93,339,6813,5870,5777,1.1606473594548552,1.1793318331313831,True,True
cora_gcnii16,14,15,128,128,O0,524288,2708,10556,283466,1114175,9690,1.1133327920466949,22,22,"{""A2_CAUSAL_COHORT"": 22}",433280,161997,0.37388524741506646,20992,540288,424384,0,0,106120,1080576,890752,24869,19461,8442,6631,1726984,1442248,0.16487471800549403,92,339,7086,6065,5973,1.168342951360264,1.186338523355098,True,True
pubmed_gcnii16,4,5,128,128,O0,524288,19717,88648,1546692,7185111,61707,1.1001924917827073,155,155,"{""A2_CAUSAL_COHORT"": 155}",3154720,1175420,0.37259091139625705,151872,6476928,6039424,0,0,866928,6010496,5454464,110076,86957,101202,94366,13354352,12512688,0.06302544668584442,655,2465,54631,51998,51343,1.0506365629447287,1.0640398885924078,True,True
pubmed_gcnii16,6,7,128,128,O0,524288,19717,88648,1577856,7337225,62866,1.0972342873402674,155,155,"{""A2_CAUSAL_COHORT"": 155}",3154720,1115200,0.35350205406502005,144576,6477632,6069312,0,0,866928,6009728,5499648,109081,89201,101213,94833,13354288,12580464,0.057945732486823665,624,2465,54631,52232,51608,1.0459296982692603,1.058576189738025,True,True
pubmed_gcnii16,8,9,128,128,O0,524288,19717,88648,1628640,7529858,64481,1.0962360098545085,155,155,"{""A2_CAUSAL_COHORT"": 155}",3154720,1148701,0.36412138002738753,148672,6549184,6117696,0,0,866928,6130944,5604608,111176,92173,102331,95589,13547056,12737904,0.05972899204077997,637,2465,55384,52860,52223,1.0477487703367385,1.0605288857399997,True,True
pubmed_gcnii16,10,11,128,128,O0,524288,19717,88648,1689411,7743800,66266,1.0955583795518458,155,155,"{""A2_CAUSAL_COHORT"": 155}",3154720,1052758,0.3337088553025308,136768,6663040,6201792,0,0,866928,6306176,5748992,115067,95174,104110,96903,13836144,12954480,0.06372179994657468,592,2465,56513,53661,53069,1.0531484690930097,1.0648966439917842,True,True
pubmed_gcnii16,12,13,128,128,O0,524288,19717,88648,1736498,7907035,67598,1.0945317711173872,155,155,"{""A2_CAUSAL_COHORT"": 155}",3154720,1045652,0.33145635745803115,135616,6788864,6280512,0,0,866928,6487040,5904128,118018,98411,106076,98133,14142832,13187184,0.06757119083363217,593,2465,57711,54571,53978,1.057539718898316,1.0691578050316797,True,True
pubmed_gcnii16,14,15,128,128,O0,524288,19717,88648,1759963,7977220,68197,1.094508333736462,155,155,"{""A2_CAUSAL_COHORT"": 155}",3154720,1057253,0.3351337044175077,136960,6876480,6348800,0,0,866928,6598912,6043392,119794,101428,107445,99200,14342320,13396080,0.06597537915762586,598,2465,58490,55392,54794,1.05592865395725,1.0674526408000875,True,True
cora_deepres28_w128,4,5,128,128,O0,524288,2708,10556,334902,1308915,11186,1.0946878753796834,22,22,"{""A2_CAUSAL_COHORT"": 22}",779904,596437,0.7647569444444444,75200,693248,565440,0,0,106120,1386496,1281280,31392,26122,10832,8835,2185864,2028040,0.0722021132147288,300,339,8878,8562,8262,1.0369072646577902,1.074558218349068,True,True
cora_deepres28_w128,6,7,128,128,O0,524288,2708,10556,337251,1316929,11298,1.0986509898933752,22,22,"{""A2_CAUSAL_COHORT"": 22}",779904,490505,0.6289299708682095,61888,693248,571968,0,0,106120,1386496,1267712,31392,26194,10832,8937,2185864,2007688,0.08151284800884229,249,339,8878,8431,8182,1.0530186217530542,1.0850647763383037,True,True
cora_deepres28_w128,8,9,128,128,O0,524288,2708,10556,330258,1291256,11089,1.0993817536691575,22,22,"{""A2_CAUSAL_COHORT"": 22}",779904,456925,0.5858733895453799,57920,693248,538304,0,0,106120,1386496,1192448,31392,24757,10832,8411,2185864,1894792,0.1331610749799621,234,339,8878,7975,7741,1.1132288401253918,1.1468802480299702,True,True
