config_id,dataset,pair_start_layer,pair_end_layer,format,deployable,slice_width,feature_cache_bytes,edge_order,value_bytes,support_index_bytes,row_pointer_stream_bytes,selector_stream_bytes,descriptor_bytes,reserved_capacity_bytes,feature_cache_accesses,feature_cache_hits,feature_cache_misses,feature_read_bytes,feature_writeback_bytes,topology_bytes,output_write_bytes,total_traffic_bytes,exact_layout_pass,exact_decode_pass,traffic_ratio_to_independent_best,support_decode_cycles,anchor_variants,selected_xorflow_tile_slices,traffic_ratio_to_beicsr,traffic_reduction_vs_beicsr
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,4,5,DENSE,True,128,524288,O0,43351808,0,0,0,0,43351808,9262392,1493800,7768592,497189888,0,19879536,86703616,603773040,True,True,1.0000472782777965,,,,1.0000472782777965,-4.727827779649196e-05
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,4,5,CSR32,True,128,524288,O0,21393359,85573436,1354752,0,0,218113792,33616819,7603803,26013016,1664833024,0,19879536,236260096,1920972656,True,True,3.1817642541291176,,,,3.1817642541291176,-2.1817642541291176
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,4,5,CSR_PACKED,True,128,524288,O0,21393359,18867541,1354752,0,0,88058368,19014039,7733541,11280498,721951872,0,19879536,95707648,837539056,True,True,1.387240896685541,,,,1.387240896685541,-0.38724089668554096
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,4,5,BEICSR,True,128,524288,O0,21393359,5418976,0,0,1354744,65027712,9262367,1494213,7768154,497161856,0,19879536,86703104,603744496,True,True,1.0,,,,1.0,0.0
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,4,5,INDEPENDENT_BEST,True,128,524288,O0,21393359,5418976,1354752,84736,0,66467200,23131969,11671271,11460698,733484672,0,19879536,89552768,842916976,True,True,1.3961485058407888,,,,1.3961485058407888,-0.39614850584078876
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,6,7,DENSE,True,128,524288,O0,43351808,0,0,0,0,43351808,9262392,1493800,7768592,497189888,0,19879536,86703616,603773040,True,True,1.0000947730666077,,,,1.0000947730666077,-9.477306660765628e-05
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,6,7,CSR32,True,128,524288,O0,20530033,82120132,1354752,0,0,218113792,32634860,7566111,25068749,1604399936,0,19879536,227403264,1851682736,True,True,3.0671429543314406,,,,3.0671429543314406,-2.0671429543314406
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,6,7,CSR_PACKED,True,128,524288,O0,20530033,18112207,1354752,0,0,88058368,18676000,7881610,10794390,690840960,0,19879536,91687040,802407536,True,True,1.3291146332450614,,,,1.3291146332450614,-0.3291146332450614
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,6,7,BEICSR,True,128,524288,O0,20530033,5418976,0,0,1354744,65027712,9261708,1493990,7767718,497133952,0,19879536,86702336,603715824,True,True,1.0,,,,1.0,0.0
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,6,7,INDEPENDENT_BEST,True,128,524288,O0,20530033,5418976,1354752,84736,0,66467200,23076059,11641610,11434449,731804736,0,19879536,89484416,841168688,True,True,1.3933189334457465,,,,1.3933189334457465,-0.39331893344574653
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,DENSE,True,128,524288,O0,43351808,0,0,0,0,43351808,9262392,1493800,7768592,497189888,0,19879536,86703616,603773040,True,True,1.0000573493405132,,,,1.0000573493405132,-5.734934051315754e-05
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,CSR32,True,128,524288,O0,21777093,87108372,1354752,0,0,218113792,33979883,7642454,26337429,1685595456,0,19879536,240720128,1946195120,True,True,3.223573435817276,,,,3.223573435817276,-2.223573435817276
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,CSR_PACKED,True,128,524288,O0,21777093,19202911,1354752,0,0,88058368,19119195,7701160,11418035,730754240,0,19879536,97798528,848432304,True,True,1.4052978599923978,,,,1.4052978599923978,-0.40529785999239776
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,BEICSR,True,128,524288,O0,21777093,5418976,0,0,1354744,65027712,9262271,1494210,7768061,497155904,0,19879536,86702976,603738416,True,True,1.0,,,,1.0,0.0
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,INDEPENDENT_BEST,True,128,524288,O0,21777093,5418976,1354752,84736,0,66467200,23151242,11683452,11467790,733938560,0,19879536,89564800,843382896,True,True,1.3969342908270392,,,,1.3969342908270392,-0.39693429082703924
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,6,7,DENSE,True,128,524288,O0,43351808,0,0,0,0,43351808,9262392,1493800,7768592,497189888,0,19879536,86703616,603773040,True,True,1.0003254201574248,,,,1.0003254201574248,-0.0003254201574247606
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,6,7,CSR32,True,128,524288,O0,20646660,82586640,1354752,0,0,218113792,32895738,7674770,25220968,1614141952,0,19879536,228848000,1862869488,True,True,3.0863844190228282,,,,3.0863844190228282,-2.0863844190228282
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,6,7,CSR_PACKED,True,128,524288,O0,20646660,18213497,1354752,0,0,88058368,18726358,7851055,10875303,696019392,0,19879536,92512256,808411184,True,True,1.3393679474240208,,,,1.3393679474240208,-0.33936794742402077
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,6,7,BEICSR,True,128,524288,O0,20646660,5418976,0,0,1354744,65027712,9259939,1494222,7765717,497005888,0,19879536,86691200,603576624,True,True,1.0,,,,1.0,0.0
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,6,7,INDEPENDENT_BEST,True,128,524288,O0,20646660,5418976,1354752,84736,0,66467200,23116464,11685716,11430748,731567872,0,19879536,89374336,840821744,True,True,1.3930654544368173,,,,1.3930654544368173,-0.3930654544368173
ogbn_arxiv_deepres8_w128_s27,OGBN-Arxiv,4,5,DENSE,True,128,524288,O0,43351808,0,0,0,0,43351808,9262392,1493800,7768592,497189888,0,19879536,86703616,603773040,True,True,1.0000497165164761,,,,1.0000497165164761,-4.971651647611708e-05
ogbn_arxiv_deepres8_w128_s27,OGBN-Arxiv,4,5,CSR32,True,128,524288,O0,21245023,84980092,1354752,0,0,218113792,33483706,7616284,25867422,1655515008,0,19879536,234738688,1910133232,True,True,3.1638183069093317,,,,3.1638183069093317,-2.1638183069093317
ogbn_arxiv_deepres8_w128_s27,OGBN-Arxiv,4,5,CSR_PACKED,True,128,524288,O0,21245023,18737426,1354752,0,0,88058368,18879639,7778524,11101115,710471360,0,19879536,94414336,824765232,True,True,1.3660865620204665,,,,1.3660865620204665,-0.3660865620204665
ogbn_arxiv_deepres8_w128_s27,OGBN-Arxiv,4,5,BEICSR,True,128,524288,O0,21245023,5418976,0,0,1354744,65027712,9262347,1494214,7768133,497160512,0,19879536,86702976,603743024,True,True,1.0,,,,1.0,0.0
ogbn_arxiv_deepres8_w128_s27,OGBN-Arxiv,4,5,INDEPENDENT_BEST,True,128,524288,O0,21245023,5418976,1354752,84736,0,66467200,23148255,11682689,11465566,733796224,0,19879536,89539968,843215728,True,True,1.3966467428698606,,,,1.3966467428698606,-0.39664674286986057
ogbn_arxiv_deepres8_w128_s27,OGBN-Arxiv,6,7,DENSE,True,128,524288,O0,43351808,0,0,0,0,43351808,9262392,1493800,7768592,497189888,0,19879536,86703616,603773040,True,True,1.0000444160127782,,,,1.0000444160127782,-4.4416012778158986e-05
ogbn_arxiv_deepres8_w128_s27,OGBN-Arxiv,6,7,CSR32,True,128,524288,O0,20408548,81634192,1354752,0,0,218113792,32713973,7652651,25061322,1603924608,0,19879536,226182400,1849986544,True,True,3.0641790713708876,,,,3.0641790713708876,-2.0641790713708876
ogbn_arxiv_deepres8_w128_s27,OGBN-Arxiv,6,7,CSR_PACKED,True,128,524288,O0,20408548,18005918,1354752,0,0,88058368,18636964,7909067,10727897,686585408,0,19879536,91178112,797643056,True,True,1.3211561816741069,,,,1.3211561816741069,-0.32115618167410687
ogbn_arxiv_deepres8_w128_s27,OGBN-Arxiv,6,7,BEICSR,True,128,524288,O0,20408548,5418976,0,0,1354744,65027712,9262387,1494210,7768177,497163328,0,19879536,86703360,603746224,True,True,1.0,,,,1.0,0.0
ogbn_arxiv_deepres8_w128_s27,OGBN-Arxiv,6,7,INDEPENDENT_BEST,True,128,524288,O0,20408548,5418976,1354752,84736,0,66467200,23131366,11679079,11452287,732946368,0,19879536,89494656,842320560,True,True,1.3951566511163802,,,,1.3951566511163802,-0.3951566511163802
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,4,5,X0_CAUSAL_INDEPENDENT,True,128,524288,O0,21393359,4607186,0,1323,1354744,69677248,7172964,1052523,6120441,391708224,0,19879536,82910720,499148016,True,True,,18618.0,"{""A0_INDEPENDENT_ROWS"": 1323}",1323.0,0.8267537332547377,0.17324626674526233
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,4,5,X1_CAUSAL_AUTO,True,128,524288,O0,21393359,4322204,0,1323,1354744,69393920,7172964,1052523,6120441,391708224,0,19879536,82344064,498298032,True,True,,17533.0,"{""A2_CAUSAL_COHORT"": 1323}",1323.0,0.825345879426452,0.174654120573548
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,4,5,X2_CAUSAL_FORCE,True,128,524288,O0,21393359,4322204,0,1323,1354744,69393920,7172964,1052523,6120441,391708224,0,19879536,82344064,498298032,True,True,,17533.0,"{""A2_CAUSAL_COHORT"": 1323}",1323.0,0.825345879426452,0.174654120573548
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,4,5,O0_OFFLINE_MAJORITY,False,128,524288,O0,21393359,4319650,0,1323,1354744,69390464,7172964,1052523,6120441,391708224,0,19879536,82337152,498287664,True,True,,17519.0,"{""A2_CAUSAL_COHORT"": 1323}",1323.0,0.8253287065990909,0.17467129340090914
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,4,5,O1_FREE_SUPPORT,False,128,524288,O0,21393359,0,0,0,1354744,65027712,7172964,1052523,6120441,391708224,0,19879536,73611648,485199408,True,True,,0.0,{},169343.0,0.8036502381629993,0.1963497618370007
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,6,7,X0_CAUSAL_INDEPENDENT,True,128,524288,O0,20530033,4227990,0,1323,1354744,69297152,6219855,1018422,5201433,332891712,0,19879536,73470592,430511280,True,True,,17171.0,"{""A0_INDEPENDENT_ROWS"": 1323}",1323.0,0.7131025275229492,0.2868974724770508
ogbn_arxiv_deepres8_w128_s7,OGBN-Arxiv,6,7,X1_CAUSAL_AUTO,True,128,524288,O0,20530033,3911417,0,1323,1354744,68981504,6219855,1018422,5201433,332891712,0,19879536,72839296,429564336,True,True,,15854.0,"{""A2_CAUSAL_COHORT"": 1323}",1323.0,0.7115340014675514,0.2884659985324486
