config_id,dataset,pair_start_layer,pair_end_layer,format,deployable,slice_width,feature_cache_bytes,edge_order,value_bytes,support_index_bytes,row_pointer_stream_bytes,selector_stream_bytes,descriptor_bytes,reserved_capacity_bytes,feature_cache_accesses,feature_cache_hits,feature_cache_misses,feature_read_bytes,feature_writeback_bytes,topology_bytes,output_write_bytes,total_traffic_bytes,exact_layout_pass,exact_decode_pass,traffic_ratio_to_independent_best,support_decode_cycles,anchor_variants,selected_xorflow_tile_slices,traffic_ratio_to_beicsr,traffic_reduction_vs_beicsr
flickr_deepres8_w128_s7,Flickr,4,5,DENSE,True,128,524288,O0,22848000,0,0,0,0,22848000,3599024,672572,2926452,187292928,0,7912056,45696000,240900984,True,True,1.0,,,,0.9996988217296536,0.00030117827034636946
flickr_deepres8_w128_s7,Flickr,4,5,CSR32,True,128,524288,O0,11702545,46810180,714112,0,0,114954112,13655938,3261747,10394191,665228224,0,7912056,129306112,802446392,True,True,3.3310216449759293,,,,3.3300184136384092,-2.3300184136384092
flickr_deepres8_w128_s7,Flickr,4,5,CSR_PACKED,True,128,524288,O0,11702545,10318041,714112,0,0,46410112,7686002,3362447,4323555,276707520,0,7912056,53285888,337905464,True,True,1.4026736561607402,,,,1.4022512013351174,-0.4022512013351174
flickr_deepres8_w128_s7,Flickr,4,5,BEICSR,True,128,524288,O0,11702545,2856000,0,0,714000,34272000,3599024,671438,2927586,187365504,0,7912056,45696000,240973560,True,True,1.0003012690060245,,,,1.0,0.0
flickr_deepres8_w128_s7,Flickr,4,5,INDEPENDENT_BEST,True,128,524288,O0,11702545,2856000,714112,44672,0,35030784,8997451,5027938,3969513,254048832,0,7912056,47212928,309173816,True,True,1.2834061981249525,,,,1.2830196640660494,-0.2830196640660494
flickr_deepres8_w128_s7,Flickr,4,5,X0_CAUSAL_INDEPENDENT,True,128,524288,O0,11702545,1694410,0,698,714000,35987904,3316702,639821,2676881,171320384,0,7912056,45983616,226931960,True,True,,6973.0,"{""A0_INDEPENDENT_ROWS"": 698}",698.0,0.9417297067777892,0.05827029322221078
flickr_deepres8_w128_s7,Flickr,4,5,X1_CAUSAL_AUTO,True,128,524288,O0,11702545,1207111,0,698,714000,35500992,3316702,639821,2676881,171320384,0,7912056,45009792,225471224,True,True,,5037.0,"{""A2_CAUSAL_COHORT"": 698}",698.0,0.9356678965111359,0.06433210348886409
flickr_deepres8_w128_s7,Flickr,4,5,X2_CAUSAL_FORCE,True,128,524288,O0,11702545,1207111,0,698,714000,35500992,3316702,639821,2676881,171320384,0,7912056,45009792,225471224,True,True,,5037.0,"{""A2_CAUSAL_COHORT"": 698}",698.0,0.9356678965111359,0.06433210348886409
flickr_deepres8_w128_s7,Flickr,4,5,O0_OFFLINE_MAJORITY,False,128,524288,O0,11702545,1227675,0,698,714000,35521856,3316702,639821,2676881,171320384,0,7912056,45051520,225533816,True,True,,5128.0,"{""A2_CAUSAL_COHORT"": 698}",698.0,0.9359276428501119,0.06407235714988813
flickr_deepres8_w128_s7,Flickr,4,5,O1_FREE_SUPPORT,False,128,524288,O0,11702545,0,0,0,714000,34272000,3316702,639821,2676881,171320384,0,7912056,42551808,221784248,True,True,,0.0,{},89250.0,0.9203675623167953,0.07963243768320472
