config_id,dataset,pair_start_layer,pair_end_layer,format,deployable,slice_width,feature_cache_bytes,edge_order,value_bytes,support_index_bytes,row_pointer_stream_bytes,selector_stream_bytes,descriptor_bytes,reserved_capacity_bytes,feature_cache_accesses,feature_cache_hits,feature_cache_misses,feature_read_bytes,feature_writeback_bytes,topology_bytes,output_write_bytes,total_traffic_bytes,exact_layout_pass,exact_decode_pass,traffic_ratio_to_independent_best,support_decode_cycles,anchor_variants,selected_xorflow_tile_slices,traffic_ratio_to_beicsr,traffic_reduction_vs_beicsr
pubmed_gcnii16,Data,4,5,DENSE,True,128,524288,O0,2523776,0,0,0,0,2523776,177296,117854,59442,3804288,0,866928,5047552,9718768,True,True,1.0,,,,0.727760358570749,0.27223964142925094
pubmed_gcnii16,Data,4,5,CSR32,True,128,524288,O0,1546692,6186768,157824,0,0,12776704,998317,511846,486471,31134144,0,866928,18216704,50217776,True,True,5.1670927837767096,,,,3.760405297089668,-2.760405297089668
pubmed_gcnii16,Data,4,5,CSR_PACKED,True,128,524288,O0,1546692,1174731,157824,0,0,5205376,626049,484045,142004,9088256,0,866928,7805824,17761008,True,True,1.8274958307472717,,,,1.3299790210711835,-0.3299790210711835
pubmed_gcnii16,Data,4,5,BEICSR,True,128,524288,O0,1546692,315472,0,0,157736,5047552,211278,110076,101202,6476928,0,866928,6010496,13354352,True,True,1.3740786898092434,,,,1.0,0.0
pubmed_gcnii16,Data,4,5,INDEPENDENT_BEST,True,128,524288,O0,1564252,288072,157824,9984,0,4996160,709184,638358,70826,4532864,0,866928,5383168,10782960,True,True,1.1094986525041035,,,,0.8074491371801492,0.1925508628198508
pubmed_gcnii16,Data,4,5,X0_CAUSAL_INDEPENDENT,True,128,524288,O0,1546692,237829,0,155,157736,5290752,181323,86957,94366,6039424,0,866928,5637120,12786672,True,True,,1007.0,"{""A0_INDEPENDENT_ROWS"": 155}",155.0,0.9574910111699916,0.04250898883000842
pubmed_gcnii16,Data,4,5,X1_CAUSAL_AUTO,True,128,524288,O0,1546692,146928,0,155,157736,5199424,181323,86957,94366,6039424,0,866928,5454464,12512688,True,True,,655.0,"{""A2_CAUSAL_COHORT"": 155}",155.0,0.9369745533141556,0.06302544668584442
pubmed_gcnii16,Data,4,5,X2_CAUSAL_FORCE,True,128,524288,O0,1546692,146928,0,155,157736,5199424,181323,86957,94366,6039424,0,866928,5454464,12512688,True,True,,655.0,"{""A2_CAUSAL_COHORT"": 155}",155.0,0.9369745533141556,0.06302544668584442
pubmed_gcnii16,Data,4,5,O0_OFFLINE_MAJORITY,False,128,524288,O0,1546692,148868,0,155,157736,5201408,181323,86957,94366,6039424,0,866928,5458432,12518640,True,True,,664.0,"{""A2_CAUSAL_COHORT"": 155}",155.0,0.93742025071677,0.06257974928322996
pubmed_gcnii16,Data,4,5,O1_FREE_SUPPORT,False,128,524288,O0,1546692,0,0,0,157736,5047552,181323,86957,94366,6039424,0,866928,5150720,12057072,True,True,,0.0,{},19717.0,0.9028571360107925,0.09714286398920746
