config_id,source_config_id,control_type,dataset,pair_start_layer,pair_end_layer,format,deployable,slice_width,feature_cache_bytes,edge_order,value_bytes,support_index_bytes,row_pointer_stream_bytes,selector_stream_bytes,descriptor_bytes,reserved_capacity_bytes,feature_cache_accesses,feature_cache_hits,feature_cache_misses,feature_read_bytes,feature_writeback_bytes,topology_bytes,output_write_bytes,total_traffic_bytes,exact_layout_pass,exact_decode_pass,traffic_ratio_to_independent_best,support_decode_cycles,anchor_variants,selected_xorflow_tile_slices,traffic_ratio_to_beicsr,traffic_reduction_vs_beicsr
ogbn_arxiv_deepres8_w128_s17__real_trained,ogbn_arxiv_deepres8_w128_s17,real_trained,OGBN-Arxiv,4,5,DENSE,True,128,524288,O0,43351808,0,0,0,0,43351808,9262392,1493800,7768592,497189888,0,19879536,86703616,603773040,True,True,1.0000573493405132,,,,1.0000573493405132,-5.734934051315754e-05
ogbn_arxiv_deepres8_w128_s17__real_trained,ogbn_arxiv_deepres8_w128_s17,real_trained,OGBN-Arxiv,4,5,CSR32,True,128,524288,O0,21777093,87108372,1354752,0,0,218113792,33979883,7642454,26337429,1685595456,0,19879536,240720128,1946195120,True,True,3.223573435817276,,,,3.223573435817276,-2.223573435817276
ogbn_arxiv_deepres8_w128_s17__real_trained,ogbn_arxiv_deepres8_w128_s17,real_trained,OGBN-Arxiv,4,5,CSR_PACKED,True,128,524288,O0,21777093,19202911,1354752,0,0,88058368,19119195,7701160,11418035,730754240,0,19879536,97798528,848432304,True,True,1.4052978599923978,,,,1.4052978599923978,-0.40529785999239776
ogbn_arxiv_deepres8_w128_s17__real_trained,ogbn_arxiv_deepres8_w128_s17,real_trained,OGBN-Arxiv,4,5,BEICSR,True,128,524288,O0,21777093,5418976,0,0,1354744,65027712,9262271,1494210,7768061,497155904,0,19879536,86702976,603738416,True,True,1.0,,,,1.0,0.0
ogbn_arxiv_deepres8_w128_s17__real_trained,ogbn_arxiv_deepres8_w128_s17,real_trained,OGBN-Arxiv,4,5,INDEPENDENT_BEST,True,128,524288,O0,21777093,5418976,1354752,84736,0,66467200,23151242,11683452,11467790,733938560,0,19879536,89564800,843382896,True,True,1.3969342908270392,,,,1.3969342908270392,-0.39693429082703924
ogbn_arxiv_deepres8_w128_s17__real_trained,ogbn_arxiv_deepres8_w128_s17,real_trained,OGBN-Arxiv,4,5,X0_CAUSAL_INDEPENDENT,True,128,524288,O0,21777093,4690935,0,1323,1354744,69761792,7524856,1104492,6420364,410903296,0,19879536,86820736,522337648,True,True,,18989.0,"{""A0_INDEPENDENT_ROWS"": 1323}",1323.0,0.8651721244784927,0.13482787552150732
ogbn_arxiv_deepres8_w128_s17__real_trained,ogbn_arxiv_deepres8_w128_s17,real_trained,OGBN-Arxiv,4,5,X1_CAUSAL_AUTO,True,128,524288,O0,21777093,4406228,0,1323,1354744,69476160,7524856,1104492,6420364,410903296,0,19879536,86249472,521480752,True,True,,17903.0,"{""A2_CAUSAL_COHORT"": 1323}",1323.0,0.8637528078054254,0.1362471921945746
ogbn_arxiv_deepres8_w128_s17__real_trained,ogbn_arxiv_deepres8_w128_s17,real_trained,OGBN-Arxiv,4,5,X2_CAUSAL_FORCE,True,128,524288,O0,21777093,4406228,0,1323,1354744,69476160,7524856,1104492,6420364,410903296,0,19879536,86249472,521480752,True,True,,17903.0,"{""A2_CAUSAL_COHORT"": 1323}",1323.0,0.8637528078054254,0.1362471921945746
ogbn_arxiv_deepres8_w128_s17__real_trained,ogbn_arxiv_deepres8_w128_s17,real_trained,OGBN-Arxiv,4,5,O0_OFFLINE_MAJORITY,False,128,524288,O0,21777093,4403192,0,1323,1354744,69473344,7524856,1104492,6420364,410903296,0,19879536,86243840,521472304,True,True,,17890.0,"{""A2_CAUSAL_COHORT"": 1323}",1323.0,0.863738814990365,0.13626118500963502
ogbn_arxiv_deepres8_w128_s17__real_trained,ogbn_arxiv_deepres8_w128_s17,real_trained,OGBN-Arxiv,4,5,O1_FREE_SUPPORT,False,128,524288,O0,21777093,0,0,0,1354744,65027712,7524856,1104492,6420364,410903296,0,19879536,77352576,508135408,True,True,,0.0,{},169343.0,0.8416482942506677,0.15835170574933233
ogbn_arxiv_deepres8_w128_s17__density_matched_independent,ogbn_arxiv_deepres8_w128_s17,density_matched_independent,OGBN-Arxiv,4,5,DENSE,True,128,524288,O0,43351808,0,0,0,0,43351808,9262392,1493800,7768592,497189888,0,19879536,86703616,603773040,True,True,1.0000883058769283,,,,1.0000883058769283,-8.830587692831848e-05
ogbn_arxiv_deepres8_w128_s17__density_matched_independent,ogbn_arxiv_deepres8_w128_s17,density_matched_independent,OGBN-Arxiv,4,5,CSR32,True,128,524288,O0,21774179,87096716,1354752,0,0,218113792,34702229,7819333,26882896,1720505344,0,19879536,240628992,1981013872,True,True,3.2813469232862307,,,,3.2813469232862307,-2.2813469232862307
ogbn_arxiv_deepres8_w128_s17__density_matched_independent,ogbn_arxiv_deepres8_w128_s17,density_matched_independent,OGBN-Arxiv,4,5,CSR_PACKED,True,128,524288,O0,21774179,19200384,1354752,0,0,88058368,19551303,7779414,11771889,753400896,0,19879536,98910592,872191024,True,True,1.4446952510387403,,,,1.4446952510387403,-0.4446952510387403
ogbn_arxiv_deepres8_w128_s17__density_matched_independent,ogbn_arxiv_deepres8_w128_s17,density_matched_independent,OGBN-Arxiv,4,5,BEICSR,True,128,524288,O0,21774179,5418976,0,0,1354744,65027712,9262067,1494226,7767841,497141824,0,19879536,86698368,603719728,True,True,1.0,,,,1.0,0.0
ogbn_arxiv_deepres8_w128_s17__density_matched_independent,ogbn_arxiv_deepres8_w128_s17,density_matched_independent,OGBN-Arxiv,4,5,INDEPENDENT_BEST,True,128,524288,O0,21774179,5418976,1354752,84736,0,66467200,23148819,11683831,11464988,733759232,0,19879536,89504256,843143024,True,True,1.3965802091529465,,,,1.3965802091529465,-0.39658020915294645
ogbn_arxiv_deepres8_w128_s17__density_matched_independent,ogbn_arxiv_deepres8_w128_s17,density_matched_independent,OGBN-Arxiv,4,5,X0_CAUSAL_INDEPENDENT,True,128,524288,O0,21774179,5801652,0,1323,1354744,70870016,8151337,1407012,6744325,431636800,0,19879536,87899008,545257648,True,True,,23813.0,"{""A0_INDEPENDENT_ROWS"": 1323}",1323.0,0.9031635421395406,0.09683645786045936
ogbn_arxiv_deepres8_w128_s17__density_matched_independent,ogbn_arxiv_deepres8_w128_s17,density_matched_independent,OGBN-Arxiv,4,5,X1_CAUSAL_AUTO,True,128,524288,O0,21774179,5558222,0,1323,1354744,70616064,8151337,1407012,6744325,431636800,0,19879536,87391104,544495792,True,True,,22491.0,"{""A2_CAUSAL_COHORT"": 1323}",1323.0,0.901901605574168,0.09809839442583201
ogbn_arxiv_deepres8_w128_s17__density_matched_independent,ogbn_arxiv_deepres8_w128_s17,density_matched_independent,OGBN-Arxiv,4,5,X2_CAUSAL_FORCE,True,128,524288,O0,21774179,5558222,0,1323,1354744,70616064,8151337,1407012,6744325,431636800,0,19879536,87391104,544495792,True,True,,22491.0,"{""A2_CAUSAL_COHORT"": 1323}",1323.0,0.901901605574168,0.09809839442583201
ogbn_arxiv_deepres8_w128_s17__density_matched_independent,ogbn_arxiv_deepres8_w128_s17,density_matched_independent,OGBN-Arxiv,4,5,O0_OFFLINE_MAJORITY,False,128,524288,O0,21774179,6096514,0,166,1354744,65027904,9262067,1494226,7767841,497141824,0,19879536,86698752,603720304,True,True,,0.0,{},0.0,1.000000954085105,-9.540851049205656e-07
ogbn_arxiv_deepres8_w128_s17__density_matched_independent,ogbn_arxiv_deepres8_w128_s17,density_matched_independent,OGBN-Arxiv,4,5,O1_FREE_SUPPORT,False,128,524288,O0,21774179,0,0,0,1354744,65027712,8151337,1407012,6744325,431636800,0,19879536,76214400,527730736,True,True,,0.0,{},169343.0,0.8741320045118685,0.12586799548813155
ogbn_arxiv_deepres8_w128_s17__node_permuted_within_rcm_tile,ogbn_arxiv_deepres8_w128_s17,node_permuted_within_rcm_tile,OGBN-Arxiv,4,5,DENSE,True,128,524288,O0,43351808,0,0,0,0,43351808,9262392,1493800,7768592,497189888,0,19879536,86703616,603773040,True,True,1.0000466422174876,,,,1.0000466422174876,-4.664221748762465e-05
ogbn_arxiv_deepres8_w128_s17__node_permuted_within_rcm_tile,ogbn_arxiv_deepres8_w128_s17,node_permuted_within_rcm_tile,OGBN-Arxiv,4,5,CSR32,True,128,524288,O0,21777093,87108372,1354752,0,0,218113792,34553609,7743614,26809995,1715839680,0,19879536,240720128,1976439344,True,True,3.2736333002111753,,,,3.2736333002111753,-2.2736333002111753
ogbn_arxiv_deepres8_w128_s17__node_permuted_within_rcm_tile,ogbn_arxiv_deepres8_w128_s17,node_permuted_within_rcm_tile,OGBN-Arxiv,4,5,CSR_PACKED,True,128,524288,O0,21777093,19202911,1354752,0,0,88058368,19403688,7761567,11642121,745095744,0,19879536,97798528,862773808,True,True,1.429037059494401,,,,1.429037059494401,-0.4290370594944011
ogbn_arxiv_deepres8_w128_s17__node_permuted_within_rcm_tile,ogbn_arxiv_deepres8_w128_s17,node_permuted_within_rcm_tile,OGBN-Arxiv,4,5,BEICSR,True,128,524288,O0,21777093,5418976,0,0,1354744,65027712,9262375,1494213,7768162,497162368,0,19879536,86702976,603744880,True,True,1.0,,,,1.0,0.0
ogbn_arxiv_deepres8_w128_s17__node_permuted_within_rcm_tile,ogbn_arxiv_deepres8_w128_s17,node_permuted_within_rcm_tile,OGBN-Arxiv,4,5,INDEPENDENT_BEST,True,128,524288,O0,21777093,5418976,1354752,84736,0,66467200,23153499,11683293,11470206,734093184,0,19879536,89564800,843537520,True,True,1.3971754427134853,,,,1.3971754427134853,-0.39717544271348526
ogbn_arxiv_deepres8_w128_s17__node_permuted_within_rcm_tile,ogbn_arxiv_deepres8_w128_s17,node_permuted_within_rcm_tile,OGBN-Arxiv,4,5,X0_CAUSAL_INDEPENDENT,True,128,524288,O0,21777093,5801652,0,1323,1354744,70870016,8077420,1319078,6758342,432533888,0,19879536,89037184,547292912,True,True,,23813.0,"{""A0_INDEPENDENT_ROWS"": 1323}",1323.0,0.9064969826327968,0.09350301736720323
ogbn_arxiv_deepres8_w128_s17__node_permuted_within_rcm_tile,ogbn_arxiv_deepres8_w128_s17,node_permuted_within_rcm_tile,OGBN-Arxiv,4,5,X1_CAUSAL_AUTO,True,128,524288,O0,21777093,5532512,0,1323,1354744,70599552,8077420,1319078,6758342,432533888,0,19879536,88496256,546481520,True,True,,22451.0,"{""A2_CAUSAL_COHORT"": 1323}",1323.0,0.9051530507389147,0.09484694926108528
ogbn_arxiv_deepres8_w128_s17__node_permuted_within_rcm_tile,ogbn_arxiv_deepres8_w128_s17,node_permuted_within_rcm_tile,OGBN-Arxiv,4,5,X2_CAUSAL_FORCE,True,128,524288,O0,21777093,5532512,0,1323,1354744,70599552,8077420,1319078,6758342,432533888,0,19879536,88496256,546481520,True,True,,22451.0,"{""A2_CAUSAL_COHORT"": 1323}",1323.0,0.9051530507389147,0.09484694926108528
ogbn_arxiv_deepres8_w128_s17__node_permuted_within_rcm_tile,ogbn_arxiv_deepres8_w128_s17,node_permuted_within_rcm_tile,OGBN-Arxiv,4,5,O0_OFFLINE_MAJORITY,False,128,524288,O0,21777093,6096514,0,166,1354744,65027904,9262375,1494213,7768162,497162368,0,19879536,86703360,603745456,True,True,,0.0,{},0.0,1.0000009540453576,-9.540453576040164e-07
ogbn_arxiv_deepres8_w128_s17__node_permuted_within_rcm_tile,ogbn_arxiv_deepres8_w128_s17,node_permuted_within_rcm_tile,OGBN-Arxiv,4,5,O1_FREE_SUPPORT,False,128,524288,O0,21777093,0,0,0,1354744,65027712,8077420,1319078,6758342,432533888,0,19879536,77352576,529766000,True,True,,0.0,{},169343.0,0.8774666544584195,0.12253334554158046
ogbn_arxiv_deepres8_w128_s17__temporally_shuffled,ogbn_arxiv_deepres8_w128_s17,temporally_shuffled,OGBN-Arxiv,4,5,DENSE,True,128,524288,O0,43351808,0,0,0,0,43351808,9262392,1493800,7768592,497189888,0,19879536,86703616,603773040,True,True,1.0001772635767585,,,,1.0001772635767585,-0.0001772635767585129
ogbn_arxiv_deepres8_w128_s17__temporally_shuffled,ogbn_arxiv_deepres8_w128_s17,temporally_shuffled,OGBN-Arxiv,4,5,CSR32,True,128,524288,O0,21956728,87826912,1354752,0,0,218113792,34710805,7766907,26943898,1724409472,0,19879536,242841344,1987130352,True,True,3.291771023485383,,,,3.291771023485383,-2.291771023485383
