config_id,dataset,pair_start_layer,pair_end_layer,format,deployable,slice_width,feature_cache_bytes,edge_order,value_bytes,support_index_bytes,row_pointer_stream_bytes,selector_stream_bytes,descriptor_bytes,reserved_capacity_bytes,feature_cache_accesses,feature_cache_hits,feature_cache_misses,feature_read_bytes,feature_writeback_bytes,topology_bytes,output_write_bytes,total_traffic_bytes,exact_layout_pass,exact_decode_pass,traffic_ratio_to_independent_best,support_decode_cycles,anchor_variants,selected_xorflow_tile_slices,traffic_ratio_to_beicsr,traffic_reduction_vs_beicsr
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,DENSE,True,128,1048576,O0,43351808,0,0,0,0,43351808,9262392,2162968,7099424,454363136,0,19879536,86703616,560946288,True,True,1.0,,,,0.9994332795414513,0.000566720458548664
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,CSR32,True,128,1048576,O0,21777093,87108372,1354752,0,0,218113792,33979883,9075957,24903926,1593851264,0,19879536,240720128,1854450928,True,True,3.305933148451461,,,,3.3040596085016394,-2.3040596085016394
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,CSR_PACKED,True,128,1048576,O0,21777093,19202911,1354752,0,0,88058368,19119195,8971956,10147239,649423296,0,19879536,97798528,767101360,True,True,1.3675130336186483,,,,1.3667380360051646,-0.36673803600516464
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,BEICSR,True,128,1048576,O0,21777093,5418976,0,0,1354744,65027712,9262271,2157867,7104404,454681856,0,19879536,86702976,561264368,True,True,1.0005670418127448,,,,1.0,0.0
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,INDEPENDENT_BEST,True,128,1048576,O0,21777093,5418976,1354752,84736,0,66467200,23151242,13332061,9819181,628427584,0,19879536,89564800,737871920,True,True,1.3154056560937613,,,,1.3146601887971623,-0.3146601887971623
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,X0_CAUSAL_INDEPENDENT,True,128,1048576,O0,21777093,4690935,0,1323,1354744,69761792,7524856,1649921,5874935,375995840,0,19879536,86820736,487430192,True,True,,18989.0,"{""A0_INDEPENDENT_ROWS"": 1323}",1323.0,0.8684502701229735,0.1315497298770265
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,X1_CAUSAL_AUTO,True,128,1048576,O0,21777093,4406228,0,1323,1354744,69476160,7524856,1649921,5874935,375995840,0,19879536,86249472,486573296,True,True,,17903.0,"{""A2_CAUSAL_COHORT"": 1323}",1323.0,0.8669235457327303,0.13307645426726966
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,X2_CAUSAL_FORCE,True,128,1048576,O0,21777093,4406228,0,1323,1354744,69476160,7524856,1649921,5874935,375995840,0,19879536,86249472,486573296,True,True,,17903.0,"{""A2_CAUSAL_COHORT"": 1323}",1323.0,0.8669235457327303,0.13307645426726966
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,O0_OFFLINE_MAJORITY,False,128,1048576,O0,21777093,4403192,0,1323,1354744,69473344,7524856,1649921,5874935,375995840,0,19879536,86243840,486564848,True,True,,17890.0,"{""A2_CAUSAL_COHORT"": 1323}",1323.0,0.8669084940022418,0.1330915059977582
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,O1_FREE_SUPPORT,False,128,1048576,O0,21777093,0,0,0,1354744,65027712,7524856,1649921,5874935,375995840,0,19879536,77352576,473227952,True,True,,0.0,{},169343.0,0.8431462586629052,0.15685374133709484
