config_id,dataset,pair_start_layer,pair_end_layer,format,deployable,slice_width,feature_cache_bytes,edge_order,value_bytes,support_index_bytes,row_pointer_stream_bytes,selector_stream_bytes,descriptor_bytes,reserved_capacity_bytes,feature_cache_accesses,feature_cache_hits,feature_cache_misses,feature_read_bytes,feature_writeback_bytes,topology_bytes,output_write_bytes,total_traffic_bytes,exact_layout_pass,exact_decode_pass,traffic_ratio_to_independent_best,support_decode_cycles,anchor_variants,selected_xorflow_tile_slices,traffic_ratio_to_beicsr,traffic_reduction_vs_beicsr
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,DENSE,True,64,524288,O0,43351808,0,0,0,0,43351808,9262392,1493800,7768592,497189888,0,19879536,86703616,603773040,True,True,1.0,,,,0.959775503604199,0.040224496395800946
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,CSR32,True,64,524288,O0,21777093,87108372,2709504,0,0,219468544,46072248,16562668,29509580,1888613120,0,19879536,265682176,2174174832,True,True,3.6009803153847346,,,,3.456132695667191,-2.456132695667191
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,CSR_PACKED,True,64,524288,O0,21777093,19348596,2709504,0,0,89413120,29464060,15759220,13704840,877109760,0,19879536,114294528,1011283824,True,True,1.6749403451336615,,,,1.6075667132576508,-0.6075667132576508
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,BEICSR,True,64,524288,O0,21777093,5418976,0,0,2709488,86703616,9262392,1098420,8163972,522494208,0,19879536,86703616,629077360,True,True,1.0419103178240618,,,,1.0,0.0
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,INDEPENDENT_BEST,True,64,524288,O0,21777093,5418976,2709504,169344,0,89582464,37049568,24440744,12608824,806964736,0,19879536,92461312,919305584,True,True,1.522601247647626,,,,1.461355379249382,-0.4613553792493821
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,X0_CAUSAL_INDEPENDENT,True,64,524288,O0,21777093,5072172,0,2646,2709488,91861248,9262392,1098420,8163972,522494208,0,19879536,97018880,644550256,True,True,,21106.0,"{""A0_INDEPENDENT_ROWS"": 2646}",2646.0,1.0245961736725036,-0.024596173672503552
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,X1_CAUSAL_AUTO,True,64,524288,O0,21777093,4406797,0,2646,2709488,91194944,9262392,1098420,8163972,522494208,0,19879536,95686272,642551344,True,True,,18476.0,"{""A2_CAUSAL_COHORT"": 2646}",2646.0,1.0214186439645516,-0.02141864396455162
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,X2_CAUSAL_FORCE,True,64,524288,O0,21777093,4406797,0,2646,2709488,91194944,9262392,1098420,8163972,522494208,0,19879536,95686272,642551344,True,True,,18476.0,"{""A2_CAUSAL_COHORT"": 2646}",2646.0,1.0214186439645516,-0.02141864396455162
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,O0_OFFLINE_MAJORITY,False,64,524288,O0,21777093,4407598,0,2646,2709488,91195584,9262392,1098420,8163972,522494208,0,19879536,95687552,642553264,True,True,,18467.0,"{""A2_CAUSAL_COHORT"": 2646}",2646.0,1.0214216960534075,-0.02142169605340749
ogbn_arxiv_deepres8_w128_s17,OGBN-Arxiv,4,5,O1_FREE_SUPPORT,False,64,524288,O0,21777093,0,0,0,2709488,86703616,9262392,1098420,8163972,522494208,0,19879536,86703616,629077360,True,True,,0.0,{},338686.0,1.0,0.0
