stream,stream_sha256,total_stream_words,window_index,offset_words,window_words,tb_status,signals,value_changes,transitions,time_markers,toggle_coverage
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,0,0,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,188173,187711,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,1,72431,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,187259,186797,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,2,144862,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,188120,187658,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,3,217293,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,187661,187199,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,4,289724,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,187253,186791,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,5,362155,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,188405,187943,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,6,434586,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,188848,188386,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,7,507017,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,188167,187705,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,8,579448,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,189300,188838,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,9,651879,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,187985,187523,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,10,724310,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,186254,185792,2053,1.0
results_hpca_xorflow/reviewer_spec_v3/online_replay/streams/ogbn_arxiv_deepres8_w128_s17/reread/support_stream.bin,35362e3ef4a54d84321227947e750341444facf4464948b5b838c780d1807ea6,2249456,11,796741,4096,status=PASS bank_conflicts=512 same_word_collisions=512,462,184493,184031,2053,1.0
