config_id,trace_state,window_start,window_end,W,tile_size,cohort_size,grouping_method,num_cohorts,regular_feature_planes,delta_feature_planes,absent_feature_planes,regular_slots,regular_true_nnz,regular_holes,delta_active_nnz,initial_mask_bits,transition_dense_bits,transition_sparse_bytes,flip_count,total_nnz,dense_bytes,independent_bitmap_bytes,phase0_mosaic_bytes,mosaic_delta_bytes,selected_bytes,selected_representation,byte_ratio_to_best_baseline,proxy_cycles_rho1_10,proxy_cycles_rho1_25,proxy_cycles_rho1_50,proxy_cycles_rho1_75,proxy_speedup_rho1_10,proxy_speedup_rho1_25,proxy_speedup_rho1_50,proxy_speedup_rho1_75,rho_delta_max_for_1x,rho_delta_max_for_1_15x,rho_delta_max_for_1_25x,grouping_objective,cluster_iterations,exact_decode_pass
chameleon_gcnii16,trained,4,7,4,128,32,random_balanced_window,72,1422,3112,74,177804,165722,12082,168620,99008,106592,10243,32451,334342,2331648,1663040,1731712,1450560,1450560,mosaic_delta,0.8722339811429671,374969.032,400262.032,442417.032,461638.912,1.5545603776687351,1.4563259899704901,1.3175622949344319,1.2627011823474708,2.3366616059779384,1.8857542403036418,1.645270311944016,399679.12,0,True
chameleon_gcnii16,trained,4,7,4,128,32,rcm_contiguous_window,72,1587,2901,120,200760,187730,13030,146612,91848,101016,9110,32077,334342,2331648,1663040,1695808,1452992,1452992,mosaic_delta,0.8736963632865115,373323.232,395315.032,431968.032,445761.912,1.5614136759643182,1.4745505554162686,1.3494331913894961,1.3076756544421857,2.5335230404059694,2.014929746541893,1.738346656481052,394732.12,0,True
chameleon_gcnii16,trained,4,7,4,128,32,first_layer_rcm_cost_reused,72,1898,2447,263,239680,229499,10181,104843,77920,90016,7516,31866,334342,2331648,1663040,1601664,1438592,1438592,mosaic_delta,0.8650375216471041,365595.332,381321.782,407360.912,407360.912,1.5944186070734623,1.5286616907711819,1.4309473069914964,1.4309473069914964,3.178341710939214,2.45314308060624,2.066370477761987,380738.87,0,True
chameleon_gcnii16,trained,4,7,4,128,32,window_cost_cluster,72,1890,2480,238,238680,229627,9053,104715,78976,90696,7594,32063,334342,2331648,1663040,1598912,1434112,1434112,mosaic_delta,0.862343659803733,364499.532,380206.782,406385.532,407802.912,1.5992119298523544,1.5331446665251751,1.434381773217261,1.4293963648793169,3.1913467984529436,2.465261710356683,2.0780163300386763,379623.87,5,True
chameleon_gcnii16,trained,4,7,4,128,32,window_global_oracle,72,1845,2424,339,234216,222747,11469,111595,76608,92800,7097,31787,334342,2331648,1663040,1619776,1441728,1441728,mosaic_delta,0.8669232249374639,367523.532,384262.782,412161.532,413983.912,1.5860535428245721,1.5169619003070665,1.4142804574008618,1.4080547168702535,3.035314126977015,2.353993279268785,1.9906221604910612,383679.87,0,True
chameleon_gcnii16,trained,8,11,4,128,32,random_balanced_window,72,2285,2316,7,287944,265576,22368,146853,73584,83984,7486,23059,412429,2331648,1991616,2059712,1799104,1799104,mosaic_delta,0.9033387962338122,459871.33200000005,481899.282,518612.532,536861.912,1.2675545515413862,1.2096137549339614,1.1239836371713439,1.0857764109740011,1.9418185532471246,1.4240763212191787,1.1479471308042735,481316.37,0,True
chameleon_gcnii16,trained,8,11,4,128,32,rcm_contiguous_window,72,2387,2204,17,301756,281397,20359,131032,69832,82424,6767,23961,412429,2331648,1991616,2019840,1788736,1788736,mosaic_delta,0.8981329734245959,456079.232,475734.032,508492.032,520396.912,1.278093715085014,1.2252896803481153,1.1463542461172724,1.1201296290551392,2.072401245497283,1.4921460406618234,1.1826765980829108,475151.12,0,True
chameleon_gcnii16,trained,8,11,4,128,32,first_layer_rcm_cost_reused,72,2681,1836,91,338704,325818,12886,86611,58432,72072,5364,24878,412429,2331648,1991616,1903360,1755136,1755136,mosaic_delta,0.8812622513576914,443557.132,456548.782,477133.912,477133.912,1.3141756899988253,1.2767792248759082,1.221694759772179,1.221694759772179,2.715704471718373,1.837848310260822,1.3696583574834602,455965.87,0,True
chameleon_gcnii16,trained,8,11,4,128,32,window_cost_cluster,72,2665,1872,71,336680,325210,11470,87219,59584,72576,5532,24998,412429,2331648,1991616,1900032,1749440,1749440,mosaic_delta,0.8784022622834924,442257.93200000003,455340.782,477056.912,477056.912,1.318036281144642,1.2801664666179626,1.2218919490259896,1.2218919490259896,2.719337300358867,1.84760063747578,1.3826744172714658,454757.87,3,True
chameleon_gcnii16,trained,8,11,4,128,32,window_global_oracle,72,2663,1737,208,337516,322671,14845,89758,54816,68320,4864,23945,412429,2331648,1991616,1914816,1760064,1760064,mosaic_delta,0.8837366239275041,445628.832,459092.532,479016.912,479016.912,1.3080661710865242,1.2697048184613031,1.2168923171547645,1.2168923171547645,2.635975400521402,1.7888977027117368,1.3371229305465806,458509.62,0,True
