config_id,W,base_bits,transition_bits,one_pass_bits,replay_bits,replay_amplification,full_support_state_bytes,fits_512KiB,fits_1MiB,fits_4MiB,fits_8MiB,chain_deployable_under_principal_rule
cora_gcnii16,1,172965,0,172965,0,1.0,21664,True,True,True,True,True
cora_gcnii16,2,172965,51966,224931,51966,1.0,21664,True,True,True,True,True
cora_gcnii16,4,173130,137835,310965,285175,1.4738153811522197,21664,True,True,True,True,True
cora_gcnii16,8,173394,286880,460274,1201493,2.98710550671991,21664,True,True,True,True,True
cora_gcnii16,13,173416,443024,616440,3102992,5.315047693206152,21664,True,True,True,True,True
pubmed_gcnii16,1,1261857,0,1261857,0,1.0,157736,True,True,True,True,True
pubmed_gcnii16,2,1262572,332090,1594662,332090,1.0,157736,True,True,True,True,True
pubmed_gcnii16,4,1262308,870600,2132908,1845347,1.4570037713769182,157736,True,True,True,True,True
pubmed_gcnii16,8,1262297,1745189,3007486,7603837,2.948021703176673,157736,True,True,True,True,True
pubmed_gcnii16,13,1262792,2736900,3999692,19210484,5.11871314091185,157736,True,True,True,True,True
cora_deepres28_w128,1,346794,0,346794,0,1.0,43328,True,True,True,True,True
cora_deepres28_w128,2,346794,204906,551700,204906,1.0,43328,True,True,True,True,True
cora_deepres28_w128,4,346794,537010,883804,1133686,1.6751225384813828,43328,True,True,True,True,True
cora_deepres28_w128,8,346794,1022114,1368908,4524169,3.5582836830524767,43328,True,True,True,True,True
cora_deepres28_w128,13,346794,1540998,1887792,11205003,6.119210696941188,43328,True,True,True,True,True
chameleon_gcnii16,1,145872,0,145872,0,1.0,18216,True,True,True,True,True
chameleon_gcnii16,2,145872,88961,234833,88961,1.0,18216,True,True,True,True,True
chameleon_gcnii16,4,145872,223165,369037,475078,1.6826226096570263,18216,True,True,True,True,True
chameleon_gcnii16,8,145872,499995,645867,2096147,3.4713323331274086,18216,True,True,True,True,True
chameleon_gcnii16,13,145872,703093,848965,5229018,6.331109056321521,18216,True,True,True,True,True
cora_resgcn16,1,173482,0,173482,0,1.0,21664,True,True,True,True,True
cora_resgcn16,2,173482,171900,345382,171900,1.0,21664,True,True,True,True,True
cora_resgcn16,4,173482,483731,657213,980305,1.755575437491346,21664,True,True,True,True,True
cora_resgcn16,8,173482,1154548,1328030,4581042,3.580132978923669,21664,True,True,True,True,True
cora_resgcn16,13,173482,1986338,2159820,12893539,6.050050930170107,21664,True,True,True,True,True
pubmed_deepres28_w128,1,2525010,0,2525010,0,1.0,315472,True,True,True,True,True
pubmed_deepres28_w128,2,2525010,1040465,3565475,1040465,1.0,315472,True,True,True,True,True
pubmed_deepres28_w128,4,2525010,2940963,5465973,5973628,1.5548261947140976,315472,True,True,True,True,True
pubmed_deepres28_w128,8,2525010,5862885,8387895,25556769,3.3478934822145483,315472,True,True,True,True,True
pubmed_deepres28_w128,13,2525010,8452669,10977679,62961417,5.965416460073208,315472,True,True,True,True,True
synthetic_scale_100000_128,0,0,0,0,0,inf,1600000,False,False,True,True,False
synthetic_scale_250000_256,0,0,0,0,0,inf,8000000,False,False,False,True,False
synthetic_scale_1000000_256,0,0,0,0,0,inf,32000000,False,False,False,False,False
