config_id,representation,policy,eta,rebuild_cost_fraction,number_of_segments,mean_segment_length,max_segment_length,total_cost,ratio_to_offline_dp,ratio_to_rebuild_every_layer,ratio_to_never_rebuild,online_legal
cora_gcnii16,R2_CHAIN_GAP,greedy,0.0,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,True
cora_gcnii16,R2_CHAIN_GAP,offline_dp,0.0,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,False
cora_gcnii16,R2_CHAIN_GAP,greedy,0.02,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,True
cora_gcnii16,R2_CHAIN_GAP,offline_dp,0.02,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,False
cora_gcnii16,R2_CHAIN_GAP,greedy,0.05,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,True
cora_gcnii16,R2_CHAIN_GAP,offline_dp,0.05,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,False
cora_gcnii16,R2_CHAIN_GAP,greedy,0.1,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,True
cora_gcnii16,R2_CHAIN_GAP,offline_dp,0.1,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,False
cora_gcnii16,MOSAIC_ANCHOR,greedy,0.0,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,True
cora_gcnii16,MOSAIC_ANCHOR,offline_dp,0.0,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,False
cora_gcnii16,MOSAIC_ANCHOR,greedy,0.02,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,True
cora_gcnii16,MOSAIC_ANCHOR,offline_dp,0.02,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,False
cora_gcnii16,MOSAIC_ANCHOR,greedy,0.05,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,True
cora_gcnii16,MOSAIC_ANCHOR,offline_dp,0.05,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,False
cora_gcnii16,MOSAIC_ANCHOR,greedy,0.1,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,True
cora_gcnii16,MOSAIC_ANCHOR,offline_dp,0.1,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,False
pubmed_gcnii16,R2_CHAIN_GAP,greedy,0.0,0.01,1,13.0,13,13136254.08,1.0,0.9886039886039887,1.0,True
pubmed_gcnii16,R2_CHAIN_GAP,offline_dp,0.0,0.01,1,13.0,13,13136254.08,1.0,0.9886039886039887,1.0,False
pubmed_gcnii16,R2_CHAIN_GAP,greedy,0.02,0.01,1,13.0,13,13136254.08,1.0,0.9886039886039887,1.0,True
pubmed_gcnii16,R2_CHAIN_GAP,offline_dp,0.02,0.01,1,13.0,13,13136254.08,1.0,0.9886039886039887,1.0,False
pubmed_gcnii16,R2_CHAIN_GAP,greedy,0.05,0.01,1,13.0,13,13136254.08,1.0,0.9886039886039887,1.0,True
pubmed_gcnii16,R2_CHAIN_GAP,offline_dp,0.05,0.01,1,13.0,13,13136254.08,1.0,0.9886039886039887,1.0,False
pubmed_gcnii16,R2_CHAIN_GAP,greedy,0.1,0.01,1,13.0,13,13136254.08,1.0,0.9886039886039887,1.0,True
pubmed_gcnii16,R2_CHAIN_GAP,offline_dp,0.1,0.01,1,13.0,13,13136254.08,1.0,0.9886039886039887,1.0,False
pubmed_gcnii16,MOSAIC_ANCHOR,greedy,0.0,0.01,1,13.0,13,13683072.213333335,1.0,0.9890544238370329,1.0,True
pubmed_gcnii16,MOSAIC_ANCHOR,offline_dp,0.0,0.01,1,13.0,13,13683072.213333335,1.0,0.9890544238370329,1.0,False
pubmed_gcnii16,MOSAIC_ANCHOR,greedy,0.02,0.01,1,13.0,13,13683072.213333335,1.0,0.9890544238370329,1.0,True
pubmed_gcnii16,MOSAIC_ANCHOR,offline_dp,0.02,0.01,1,13.0,13,13683072.213333335,1.0,0.9890544238370329,1.0,False
pubmed_gcnii16,MOSAIC_ANCHOR,greedy,0.05,0.01,1,13.0,13,13683072.213333335,1.0,0.9890544238370329,1.0,True
pubmed_gcnii16,MOSAIC_ANCHOR,offline_dp,0.05,0.01,1,13.0,13,13683072.213333335,1.0,0.9890544238370329,1.0,False
pubmed_gcnii16,MOSAIC_ANCHOR,greedy,0.1,0.01,1,13.0,13,13683072.213333335,1.0,0.9890544238370329,1.0,True
pubmed_gcnii16,MOSAIC_ANCHOR,offline_dp,0.1,0.01,1,13.0,13,13683072.213333335,1.0,0.9890544238370329,1.0,False
cora_deepres28_w128,R2_CHAIN_GAP,greedy,0.0,0.01,2,12.5,13,6942878.720000001,1.0,0.9891358024691354,1.000537944284342,True
cora_deepres28_w128,R2_CHAIN_GAP,offline_dp,0.0,0.01,2,12.5,13,6942878.720000001,1.0,0.9891358024691354,1.000537944284342,False
cora_deepres28_w128,R2_CHAIN_GAP,greedy,0.02,0.01,2,12.5,13,6942878.720000001,1.0,0.9891358024691354,1.000537944284342,True
cora_deepres28_w128,R2_CHAIN_GAP,offline_dp,0.02,0.01,2,12.5,13,6942878.720000001,1.0,0.9891358024691354,1.000537944284342,False
cora_deepres28_w128,R2_CHAIN_GAP,greedy,0.05,0.01,2,12.5,13,6942878.720000001,1.0,0.9891358024691354,1.000537944284342,True
cora_deepres28_w128,R2_CHAIN_GAP,offline_dp,0.05,0.01,2,12.5,13,6942878.720000001,1.0,0.9891358024691354,1.000537944284342,False
cora_deepres28_w128,R2_CHAIN_GAP,greedy,0.1,0.01,2,12.5,13,6942878.720000001,1.0,0.9891358024691354,1.000537944284342,True
cora_deepres28_w128,R2_CHAIN_GAP,offline_dp,0.1,0.01,2,12.5,13,6942878.720000001,1.0,0.9891358024691354,1.000537944284342,False
cora_deepres28_w128,MOSAIC_ANCHOR,greedy,0.0,0.01,2,12.5,13,7231732.053333335,1.0,0.9895652173913047,1.000516446357209,True
cora_deepres28_w128,MOSAIC_ANCHOR,offline_dp,0.0,0.01,2,12.5,13,7231732.053333335,1.0,0.9895652173913047,1.000516446357209,False
cora_deepres28_w128,MOSAIC_ANCHOR,greedy,0.02,0.01,2,12.5,13,7231732.053333335,1.0,0.9895652173913047,1.000516446357209,True
cora_deepres28_w128,MOSAIC_ANCHOR,offline_dp,0.02,0.01,2,12.5,13,7231732.053333335,1.0,0.9895652173913047,1.000516446357209,False
cora_deepres28_w128,MOSAIC_ANCHOR,greedy,0.05,0.01,2,12.5,13,7231732.053333335,1.0,0.9895652173913047,1.000516446357209,True
cora_deepres28_w128,MOSAIC_ANCHOR,offline_dp,0.05,0.01,2,12.5,13,7231732.053333335,1.0,0.9895652173913047,1.000516446357209,False
cora_deepres28_w128,MOSAIC_ANCHOR,greedy,0.1,0.01,2,12.5,13,7231732.053333335,1.0,0.9895652173913047,1.000516446357209,True
cora_deepres28_w128,MOSAIC_ANCHOR,offline_dp,0.1,0.01,2,12.5,13,7231732.053333335,1.0,0.9895652173913047,1.000516446357209,False
chameleon_gcnii16,R2_CHAIN_GAP,greedy,0.0,0.01,1,13.0,13,1517028.48,1.0,0.988603988603989,1.0,True
chameleon_gcnii16,R2_CHAIN_GAP,offline_dp,0.0,0.01,1,13.0,13,1517028.48,1.0,0.988603988603989,1.0,False
chameleon_gcnii16,R2_CHAIN_GAP,greedy,0.02,0.01,1,13.0,13,1517028.48,1.0,0.988603988603989,1.0,True
chameleon_gcnii16,R2_CHAIN_GAP,offline_dp,0.02,0.01,1,13.0,13,1517028.48,1.0,0.988603988603989,1.0,False
chameleon_gcnii16,R2_CHAIN_GAP,greedy,0.05,0.01,1,13.0,13,1517028.48,1.0,0.988603988603989,1.0,True
chameleon_gcnii16,R2_CHAIN_GAP,offline_dp,0.05,0.01,1,13.0,13,1517028.48,1.0,0.988603988603989,1.0,False
chameleon_gcnii16,R2_CHAIN_GAP,greedy,0.1,0.01,1,13.0,13,1517028.48,1.0,0.988603988603989,1.0,True
chameleon_gcnii16,R2_CHAIN_GAP,offline_dp,0.1,0.01,1,13.0,13,1517028.48,1.0,0.988603988603989,1.0,False
chameleon_gcnii16,MOSAIC_ANCHOR,greedy,0.0,0.01,1,13.0,13,1580177.28,1.0,0.9890544238370325,1.0,True
chameleon_gcnii16,MOSAIC_ANCHOR,offline_dp,0.0,0.01,1,13.0,13,1580177.28,1.0,0.9890544238370325,1.0,False
chameleon_gcnii16,MOSAIC_ANCHOR,greedy,0.02,0.01,1,13.0,13,1580177.28,1.0,0.9890544238370325,1.0,True
chameleon_gcnii16,MOSAIC_ANCHOR,offline_dp,0.02,0.01,1,13.0,13,1580177.28,1.0,0.9890544238370325,1.0,False
chameleon_gcnii16,MOSAIC_ANCHOR,greedy,0.05,0.01,1,13.0,13,1580177.28,1.0,0.9890544238370325,1.0,True
chameleon_gcnii16,MOSAIC_ANCHOR,offline_dp,0.05,0.01,1,13.0,13,1580177.28,1.0,0.9890544238370325,1.0,False
chameleon_gcnii16,MOSAIC_ANCHOR,greedy,0.1,0.01,1,13.0,13,1580177.28,1.0,0.9890544238370325,1.0,True
chameleon_gcnii16,MOSAIC_ANCHOR,offline_dp,0.1,0.01,1,13.0,13,1580177.28,1.0,0.9890544238370325,1.0,False
cora_resgcn16,R2_CHAIN_GAP,greedy,0.0,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,True
cora_resgcn16,R2_CHAIN_GAP,offline_dp,0.0,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,False
cora_resgcn16,R2_CHAIN_GAP,greedy,0.02,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,True
cora_resgcn16,R2_CHAIN_GAP,offline_dp,0.02,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,False
cora_resgcn16,R2_CHAIN_GAP,greedy,0.05,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,True
cora_resgcn16,R2_CHAIN_GAP,offline_dp,0.05,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,False
cora_resgcn16,R2_CHAIN_GAP,greedy,0.1,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,True
cora_resgcn16,R2_CHAIN_GAP,offline_dp,0.1,0.01,1,13.0,13,1804177.9200000002,1.0,0.9886039886039888,1.0,False
cora_resgcn16,MOSAIC_ANCHOR,greedy,0.0,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,True
cora_resgcn16,MOSAIC_ANCHOR,offline_dp,0.0,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,False
cora_resgcn16,MOSAIC_ANCHOR,greedy,0.02,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,True
cora_resgcn16,MOSAIC_ANCHOR,offline_dp,0.02,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,False
cora_resgcn16,MOSAIC_ANCHOR,greedy,0.05,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,True
cora_resgcn16,MOSAIC_ANCHOR,offline_dp,0.05,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,False
cora_resgcn16,MOSAIC_ANCHOR,greedy,0.1,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,True
cora_resgcn16,MOSAIC_ANCHOR,offline_dp,0.1,0.01,1,13.0,13,1879279.7866666669,1.0,0.9890544238370328,1.0,False
pubmed_deepres28_w128,R2_CHAIN_GAP,greedy,0.0,0.01,2,12.5,13,50551233.28,1.0,0.9891358024691356,1.000537944284342,True
pubmed_deepres28_w128,R2_CHAIN_GAP,offline_dp,0.0,0.01,2,12.5,13,50551233.28,1.0,0.9891358024691356,1.000537944284342,False
pubmed_deepres28_w128,R2_CHAIN_GAP,greedy,0.02,0.01,2,12.5,13,50551233.28,1.0,0.9891358024691356,1.000537944284342,True
pubmed_deepres28_w128,R2_CHAIN_GAP,offline_dp,0.02,0.01,2,12.5,13,50551233.28,1.0,0.9891358024691356,1.000537944284342,False
pubmed_deepres28_w128,R2_CHAIN_GAP,greedy,0.05,0.01,2,12.5,13,50551233.28,1.0,0.9891358024691356,1.000537944284342,True
pubmed_deepres28_w128,R2_CHAIN_GAP,offline_dp,0.05,0.01,2,12.5,13,50551233.28,1.0,0.9891358024691356,1.000537944284342,False
pubmed_deepres28_w128,R2_CHAIN_GAP,greedy,0.1,0.01,2,12.5,13,50551233.28,1.0,0.9891358024691356,1.000537944284342,True
pubmed_deepres28_w128,R2_CHAIN_GAP,offline_dp,0.1,0.01,2,12.5,13,50551233.28,1.0,0.9891358024691356,1.000537944284342,False
pubmed_deepres28_w128,MOSAIC_ANCHOR,greedy,0.0,0.01,2,12.5,13,52654379.946666665,1.0,0.989565217391304,1.0005164463572087,True
pubmed_deepres28_w128,MOSAIC_ANCHOR,offline_dp,0.0,0.01,2,12.5,13,52654379.946666665,1.0,0.989565217391304,1.0005164463572087,False
pubmed_deepres28_w128,MOSAIC_ANCHOR,greedy,0.02,0.01,2,12.5,13,52654379.946666665,1.0,0.989565217391304,1.0005164463572087,True
pubmed_deepres28_w128,MOSAIC_ANCHOR,offline_dp,0.02,0.01,2,12.5,13,52654379.946666665,1.0,0.989565217391304,1.0005164463572087,False
pubmed_deepres28_w128,MOSAIC_ANCHOR,greedy,0.05,0.01,2,12.5,13,52654379.946666665,1.0,0.989565217391304,1.0005164463572087,True
pubmed_deepres28_w128,MOSAIC_ANCHOR,offline_dp,0.05,0.01,2,12.5,13,52654379.946666665,1.0,0.989565217391304,1.0005164463572087,False
pubmed_deepres28_w128,MOSAIC_ANCHOR,greedy,0.1,0.01,2,12.5,13,52654379.946666665,1.0,0.989565217391304,1.0005164463572087,True
pubmed_deepres28_w128,MOSAIC_ANCHOR,offline_dp,0.1,0.01,2,12.5,13,52654379.946666665,1.0,0.989565217391304,1.0005164463572087,False
