config_id,parameter,value,proxy
cora_gcnii16,rho_delta,1.1,1.2608250302635253
cora_gcnii16,rho_delta,1.25,1.252091490991056
cora_gcnii16,rho_delta,1.5,1.2378013941263855
cora_gcnii16,max_window,2,1.252091490991056
cora_gcnii16,max_window,4,1.252091490991056
cora_gcnii16,max_window,8,1.252091490991056
cora_gcnii16,max_window,13,1.252091490991056
cora_gcnii16,cohort_window,16_4,1.252091490991056
cora_gcnii16,cohort_window,16_8,1.252091490991056
cora_gcnii16,cohort_window,32_4,1.252091490991056
cora_gcnii16,cohort_window,32_8,1.252091490991056
cora_gcnii16,cohort_window,32_13,1.252091490991056
cora_gcnii16,cohort_window,64_4,1.252091490991056
cora_gcnii16,cohort_window,64_8,1.252091490991056
pubmed_gcnii16,rho_delta,1.1,1.464530807462737
pubmed_gcnii16,rho_delta,1.25,1.4544138520434773
pubmed_gcnii16,rho_delta,1.5,1.4378593365034755
pubmed_gcnii16,max_window,2,1.4544138520434773
pubmed_gcnii16,max_window,4,1.4544138520434773
pubmed_gcnii16,max_window,8,1.4544138520434773
pubmed_gcnii16,max_window,13,1.4544138520434773
pubmed_gcnii16,cohort_window,16_4,1.4544138520434773
pubmed_gcnii16,cohort_window,16_8,1.4544138520434773
pubmed_gcnii16,cohort_window,32_4,1.4544138520434773
pubmed_gcnii16,cohort_window,32_8,1.4544138520434773
pubmed_gcnii16,cohort_window,32_13,1.4544138520434773
pubmed_gcnii16,cohort_window,64_4,1.4544138520434773
pubmed_gcnii16,cohort_window,64_8,1.4544138520434773
cora_deepres28_w128,rho_delta,1.1,1.9386687180336075
cora_deepres28_w128,rho_delta,1.25,1.9107009440422829
cora_deepres28_w128,rho_delta,1.5,1.865855585383943
cora_deepres28_w128,max_window,2,1.9107009440422829
cora_deepres28_w128,max_window,4,1.9107009440422829
cora_deepres28_w128,max_window,8,1.9107009440422829
cora_deepres28_w128,max_window,13,1.9107009440422829
cora_deepres28_w128,cohort_window,16_4,1.9107009440422829
cora_deepres28_w128,cohort_window,16_8,1.9107009440422829
cora_deepres28_w128,cohort_window,32_4,1.9107009440422829
cora_deepres28_w128,cohort_window,32_8,1.9107009440422829
cora_deepres28_w128,cohort_window,32_13,1.9107009440422829
cora_deepres28_w128,cohort_window,64_4,1.9107009440422829
cora_deepres28_w128,cohort_window,64_8,1.9107009440422829
chameleon_gcnii16,rho_delta,1.1,1.3682689723405979
chameleon_gcnii16,rho_delta,1.25,1.3439071526596607
chameleon_gcnii16,rho_delta,1.5,1.305176376547612
chameleon_gcnii16,max_window,2,1.3439071526596607
chameleon_gcnii16,max_window,4,1.3439071526596607
chameleon_gcnii16,max_window,8,1.3439071526596607
chameleon_gcnii16,max_window,13,1.3439071526596607
chameleon_gcnii16,cohort_window,16_4,1.3439071526596607
chameleon_gcnii16,cohort_window,16_8,1.3439071526596607
chameleon_gcnii16,cohort_window,32_4,1.3439071526596607
chameleon_gcnii16,cohort_window,32_8,1.3439071526596607
chameleon_gcnii16,cohort_window,32_13,1.3439071526596607
chameleon_gcnii16,cohort_window,64_4,1.3439071526596607
chameleon_gcnii16,cohort_window,64_8,1.3439071526596607
