Layer,M,N,K,
shape_0,5,128,42,
shape_1,5,64,44,
shape_2,5,64,46,
shape_3,5,128,48,
shape_4,5,64,53,
shape_5,5,128,53,
shape_6,5,128,54,
shape_7,5,128,56,
shape_8,5,64,64,
shape_9,5,128,128,
shape_10,20,64,12,
shape_11,20,64,14,
shape_12,20,64,16,
shape_13,20,64,43,
shape_14,20,64,44,
shape_15,20,128,51,
shape_16,20,64,53,
shape_17,20,128,53,
shape_18,20,128,54,
shape_19,20,128,56,
shape_20,20,128,60,
shape_21,20,128,61,
shape_22,20,64,64,
shape_23,20,128,128,
shape_24,23,64,61,
shape_25,23,64,64,
shape_26,26,64,51,
shape_27,26,64,55,
shape_28,26,64,61,
shape_29,26,64,62,
shape_30,26,64,64,
shape_31,32,64,8,
shape_32,32,64,9,
shape_33,32,64,10,
shape_34,32,64,11,
shape_35,32,64,12,
shape_36,32,64,13,
shape_37,32,64,14,
shape_38,32,64,15,
shape_39,32,64,16,
shape_40,32,64,17,
shape_41,32,64,18,
shape_42,32,64,19,
shape_43,32,64,20,
shape_44,32,64,21,
shape_45,32,64,22,
shape_46,32,64,23,
shape_47,32,64,24,
shape_48,32,64,25,
shape_49,32,64,27,
shape_50,32,64,28,
shape_51,32,64,29,
shape_52,32,64,30,
shape_53,32,64,31,
shape_54,32,64,32,
shape_55,32,64,33,
shape_56,32,64,34,
shape_57,32,64,35,
shape_58,32,64,36,
shape_59,32,64,37,
shape_60,32,64,38,
shape_61,32,64,39,
shape_62,32,64,40,
shape_63,32,128,40,
shape_64,32,64,41,
shape_65,32,128,41,
shape_66,32,64,42,
shape_67,32,128,42,
shape_68,32,64,43,
shape_69,32,128,43,
shape_70,32,64,44,
shape_71,32,128,44,
shape_72,32,64,45,
shape_73,32,128,45,
shape_74,32,64,46,
shape_75,32,128,46,
shape_76,32,64,47,
shape_77,32,128,47,
shape_78,32,64,48,
shape_79,32,128,48,
shape_80,32,64,49,
shape_81,32,128,49,
shape_82,32,64,50,
shape_83,32,128,50,
shape_84,32,64,51,
shape_85,32,128,51,
shape_86,32,64,52,
shape_87,32,128,52,
shape_88,32,64,53,
shape_89,32,128,53,
shape_90,32,64,54,
shape_91,32,128,54,
shape_92,32,64,55,
shape_93,32,128,55,
shape_94,32,64,56,
shape_95,32,128,56,
shape_96,32,64,57,
shape_97,32,128,57,
shape_98,32,64,58,
shape_99,32,128,58,
shape_100,32,64,59,
shape_101,32,128,59,
shape_102,32,64,60,
shape_103,32,128,60,
shape_104,32,64,61,
shape_105,32,128,61,
shape_106,32,64,62,
shape_107,32,128,62,
shape_108,32,64,63,
shape_109,32,128,63,
shape_110,32,64,64,
shape_111,32,128,64,
shape_112,32,128,65,
shape_113,32,128,66,
shape_114,32,128,67,
shape_115,32,128,68,
shape_116,32,128,69,
shape_117,32,128,70,
shape_118,32,128,71,
shape_119,32,128,72,
shape_120,32,128,73,
shape_121,32,128,74,
shape_122,32,128,75,
shape_123,32,128,76,
shape_124,32,128,77,
shape_125,32,128,78,
shape_126,32,128,79,
shape_127,32,128,80,
shape_128,32,128,81,
shape_129,32,128,82,
shape_130,32,128,83,
shape_131,32,128,84,
shape_132,32,128,85,
shape_133,32,128,86,
shape_134,32,128,87,
shape_135,32,128,88,
shape_136,32,128,89,
shape_137,32,128,90,
shape_138,32,128,91,
shape_139,32,128,92,
shape_140,32,128,93,
shape_141,32,128,94,
shape_142,32,128,95,
shape_143,32,128,96,
shape_144,32,128,97,
shape_145,32,128,98,
shape_146,32,128,99,
shape_147,32,128,100,
shape_148,32,128,101,
shape_149,32,128,102,
shape_150,32,128,103,
shape_151,32,128,104,
shape_152,32,128,105,
shape_153,32,128,106,
shape_154,32,128,107,
shape_155,32,128,108,
shape_156,32,128,109,
shape_157,32,128,110,
shape_158,32,128,111,
shape_159,32,128,112,
shape_160,32,128,113,
shape_161,32,128,115,
shape_162,32,128,117,
shape_163,32,128,128,
