LayerID, Total Cycles (incl. prefetch), Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 1617, 791, 0, 3.3185840707964602, 65.625, 2.524038461538462,
1, 939, 395, 0, 3.481012658227848, 68.75, 2.6442307692307696,
2, 939, 395, 0, 3.6392405063291138, 71.875, 2.7644230769230766,
3, 1617, 791, 0, 3.7926675094816686, 75.0, 2.8846153846153846,
4, 939, 395, 0, 4.193037974683544, 82.8125, 3.1850961538461537,
5, 1617, 791, 0, 4.187737041719343, 82.8125, 3.1850961538461537,
6, 1617, 791, 0, 4.2667509481668775, 84.375, 3.245192307692308,
7, 1617, 791, 0, 4.424778761061947, 87.5, 3.365384615384616,
8, 939, 395, 0, 5.063291139240507, 100.0, 3.8461538461538463,
9, 3497, 1583, 0, 5.053695514845231, 100.0, 3.846153846153845,
10, 529, 227, 0, 6.607929515418502, 37.5, 5.172413793103448,
11, 529, 227, 0, 7.709251101321586, 43.75, 6.0344827586206895,
12, 529, 227, 0, 8.810572687224669, 50.0, 6.896551724137931,
13, 1059, 455, 0, 11.813186813186814, 67.1875, 9.267241379310345,
14, 1059, 455, 0, 12.087912087912088, 68.75, 9.482758620689655,
15, 1857, 911, 0, 13.995609220636663, 79.6875, 10.991379310344826,
16, 1059, 455, 0, 14.56043956043956, 82.8125, 11.422413793103448,
17, 1857, 911, 0, 14.544456641053786, 82.8125, 11.422413793103448,
18, 1857, 911, 0, 14.818880351262349, 84.375, 11.63793103448276,
19, 1857, 911, 0, 15.367727771679473, 87.5, 12.068965517241379,
20, 1857, 911, 0, 16.46542261251372, 93.75, 12.93103448275862,
21, 1857, 911, 0, 16.739846322722283, 95.3125, 13.14655172413793,
22, 1059, 455, 0, 17.582417582417584, 100.0, 13.793103448275861,
23, 3977, 1823, 0, 17.553483269336258, 100.0, 13.793103448275865,
24, 1083, 467, 0, 18.77676659528908, 95.3125, 14.812077702702704,
25, 1083, 467, 0, 19.700214132762312, 100.0, 15.54054054054054,
26, 1107, 479, 0, 17.301670146137788, 79.6875, 13.721026490066224,
27, 1107, 479, 0, 18.65866388308977, 85.9375, 14.797185430463575,
28, 1107, 479, 0, 20.694154488517746, 95.3125, 16.4114238410596,
29, 1107, 479, 0, 21.03340292275574, 96.875, 16.68046357615894,
30, 1107, 479, 0, 21.711899791231733, 100.0, 17.218543046357617,
31, 577, 251, 0, 6.374501992031872, 25.0, 5.095541401273886,
32, 577, 251, 0, 7.171314741035856, 28.125, 5.7324840764331215,
33, 577, 251, 0, 7.968127490039841, 31.25, 6.369426751592357,
34, 577, 251, 0, 8.764940239043824, 34.375, 7.006369426751593,
35, 577, 251, 0, 9.56175298804781, 37.5, 7.643312101910828,
36, 577, 251, 0, 10.358565737051793, 40.625, 8.280254777070063,
37, 577, 251, 0, 11.155378486055778, 43.75, 8.9171974522293,
38, 577, 251, 0, 11.952191235059761, 46.875, 9.554140127388536,
39, 577, 251, 0, 12.749003984063744, 50.0, 10.191082802547772,
40, 577, 251, 0, 13.54581673306773, 53.125, 10.828025477707007,
41, 577, 251, 0, 14.342629482071713, 56.25, 11.464968152866243,
42, 577, 251, 0, 15.139442231075698, 59.375, 12.101910828025478,
43, 577, 251, 0, 15.936254980079681, 62.5, 12.738853503184714,
44, 577, 251, 0, 16.733067729083665, 65.625, 13.375796178343949,
45, 577, 251, 0, 17.529880478087648, 68.75, 14.012738853503185,
46, 577, 251, 0, 18.326693227091635, 71.875, 14.64968152866242,
47, 577, 251, 0, 19.12350597609562, 75.0, 15.286624203821656,
48, 577, 251, 0, 19.9203187250996, 78.125, 15.92356687898089,
49, 577, 251, 0, 21.51394422310757, 84.375, 17.197452229299362,
50, 577, 251, 0, 22.310756972111555, 87.5, 17.8343949044586,
51, 577, 251, 0, 23.10756972111554, 90.625, 18.471337579617835,
52, 577, 251, 0, 23.904382470119522, 93.75, 19.10828025477707,
53, 577, 251, 0, 24.701195219123505, 96.875, 19.745222929936308,
54, 577, 251, 0, 25.49800796812749, 100.0, 20.382165605095544,
55, 893, 503, 0, 13.121272365805169, 51.5625, 10.509554140127388,
56, 893, 503, 0, 13.518886679920477, 53.125, 10.828025477707007,
57, 893, 503, 0, 13.916500994035784, 54.6875, 11.146496815286625,
58, 893, 503, 0, 14.314115308151093, 56.25, 11.464968152866243,
59, 893, 503, 0, 14.711729622266402, 57.8125, 11.78343949044586,
60, 893, 503, 0, 15.109343936381709, 59.375, 12.101910828025478,
61, 893, 503, 0, 15.506958250497018, 60.9375, 12.420382165605096,
62, 893, 503, 0, 15.904572564612327, 62.5, 12.738853503184714,
63, 1787, 1007, 0, 15.888778550148958, 62.5, 12.738853503184714,
64, 1155, 503, 0, 16.302186878727635, 64.0625, 13.05732484076433,
65, 2049, 1007, 0, 16.28599801390268, 64.0625, 13.05732484076433,
66, 1155, 503, 0, 16.69980119284294, 65.625, 13.375796178343949,
67, 2049, 1007, 0, 16.683217477656406, 65.625, 13.375796178343949,
68, 1155, 503, 0, 17.09741550695825, 67.1875, 13.694267515923567,
69, 2049, 1007, 0, 17.080436941410127, 67.1875, 13.694267515923567,
70, 1155, 503, 0, 17.495029821073558, 68.75, 14.012738853503185,
71, 2049, 1007, 0, 17.477656405163852, 68.75, 14.012738853503185,
72, 1155, 503, 0, 17.892644135188867, 70.3125, 14.331210191082802,
73, 2049, 1007, 0, 17.874875868917577, 70.3125, 14.331210191082802,
74, 1155, 503, 0, 18.290258449304176, 71.875, 14.64968152866242,
75, 2049, 1007, 0, 18.272095332671302, 71.875, 14.64968152866242,
76, 1155, 503, 0, 18.687872763419485, 73.4375, 14.96815286624204,
77, 2049, 1007, 0, 18.669314796425024, 73.4375, 14.968152866242038,
78, 1155, 503, 0, 19.08548707753479, 75.0, 15.286624203821658,
79, 2049, 1007, 0, 19.06653426017875, 75.0, 15.286624203821656,
80, 1155, 503, 0, 19.4831013916501, 76.5625, 15.605095541401276,
81, 2049, 1007, 0, 19.463753723932474, 76.5625, 15.605095541401273,
82, 1155, 503, 0, 19.880715705765407, 78.125, 15.923566878980894,
83, 2049, 1007, 0, 19.860973187686195, 78.125, 15.92356687898089,
84, 1155, 503, 0, 20.278330019880716, 79.6875, 16.242038216560513,
85, 2049, 1007, 0, 20.25819265143992, 79.6875, 16.24203821656051,
86, 1155, 503, 0, 20.675944333996025, 81.25, 16.56050955414013,
87, 2049, 1007, 0, 20.655412115193645, 81.25, 16.560509554140125,
88, 1155, 503, 0, 21.073558648111334, 82.8125, 16.878980891719745,
89, 2049, 1007, 0, 21.05263157894737, 82.8125, 16.878980891719745,
90, 1155, 503, 0, 21.47117296222664, 84.375, 17.197452229299365,
91, 2049, 1007, 0, 21.44985104270109, 84.375, 17.197452229299362,
92, 1155, 503, 0, 21.868787276341948, 85.9375, 17.515923566878982,
93, 2049, 1007, 0, 21.847070506454816, 85.9375, 17.51592356687898,
94, 1155, 503, 0, 22.266401590457257, 87.5, 17.834394904458602,
95, 2049, 1007, 0, 22.24428997020854, 87.5, 17.8343949044586,
96, 1155, 503, 0, 22.664015904572565, 89.0625, 18.15286624203822,
97, 2049, 1007, 0, 22.641509433962263, 89.0625, 18.152866242038215,
98, 1155, 503, 0, 23.061630218687874, 90.625, 18.471337579617835,
99, 2049, 1007, 0, 23.038728897715988, 90.625, 18.471337579617835,
100, 1155, 503, 0, 23.45924453280318, 92.1875, 18.789808917197455,
101, 2049, 1007, 0, 23.435948361469713, 92.1875, 18.78980891719745,
102, 1155, 503, 0, 23.856858846918488, 93.75, 19.10828025477707,
103, 2049, 1007, 0, 23.833167825223438, 93.75, 19.108280254777068,
104, 1155, 503, 0, 24.254473161033797, 95.3125, 19.426751592356688,
105, 2049, 1007, 0, 24.23038728897716, 95.3125, 19.426751592356688,
106, 1155, 503, 0, 24.652087475149106, 96.875, 19.745222929936308,
107, 2311, 1007, 0, 24.627606752730884, 96.875, 19.745222929936304,
108, 1155, 503, 0, 25.049701789264414, 98.4375, 20.063694267515924,
109, 2311, 1007, 0, 25.02482621648461, 98.4375, 20.06369426751592,
110, 1155, 503, 0, 25.447316103379723, 100.0, 20.382165605095544,
111, 2311, 1007, 0, 25.42204568023833, 100.0, 20.38216560509554,
112, 2943, 1511, 0, 17.207147584381204, 67.70833333333334, 13.800424628450106,
113, 2943, 1511, 0, 17.47187293183322, 68.75, 14.012738853503185,
114, 2943, 1511, 0, 17.736598279285243, 69.79166666666666, 14.225053078556263,
115, 2943, 1511, 0, 18.00132362673726, 70.83333333333334, 14.437367303609342,
116, 2943, 1511, 0, 18.266048974189278, 71.875, 14.64968152866242,
117, 2943, 1511, 0, 18.530774321641296, 72.91666666666666, 14.8619957537155,
118, 2943, 1511, 0, 18.795499669093317, 73.95833333333334, 15.074309978768577,
119, 2943, 1511, 0, 19.060225016545335, 75.0, 15.286624203821656,
120, 2943, 1511, 0, 19.324950363997353, 76.04166666666666, 15.498938428874734,
121, 2943, 1511, 0, 19.58967571144937, 77.08333333333334, 15.711252653927813,
122, 2943, 1511, 0, 19.85440105890139, 78.125, 15.92356687898089,
123, 2943, 1511, 0, 20.11912640635341, 79.16666666666666, 16.13588110403397,
124, 2943, 1511, 0, 20.383851753805427, 80.20833333333334, 16.348195329087048,
125, 2943, 1511, 0, 20.648577101257445, 81.25, 16.560509554140125,
126, 2943, 1511, 0, 20.913302448709462, 82.29166666666666, 16.772823779193207,
127, 2943, 1511, 0, 21.178027796161484, 83.33333333333334, 16.985138004246284,
128, 2943, 1511, 0, 21.4427531436135, 84.375, 17.197452229299362,
129, 3205, 1511, 0, 21.70747849106552, 85.41666666666666, 17.40976645435244,
130, 3205, 1511, 0, 21.972203838517537, 86.45833333333334, 17.62208067940552,
131, 3205, 1511, 0, 22.236929185969558, 87.5, 17.8343949044586,
132, 3205, 1511, 0, 22.501654533421576, 88.54166666666666, 18.046709129511676,
133, 3205, 1511, 0, 22.766379880873593, 89.58333333333334, 18.259023354564754,
134, 3205, 1511, 0, 23.03110522832561, 90.625, 18.471337579617835,
135, 3205, 1511, 0, 23.295830575777632, 91.66666666666666, 18.683651804670912,
136, 3205, 1511, 0, 23.56055592322965, 92.70833333333334, 18.89596602972399,
137, 3205, 1511, 0, 23.825281270681668, 93.75, 19.108280254777068,
138, 3205, 1511, 0, 24.090006618133685, 94.79166666666666, 19.32059447983015,
139, 3205, 1511, 0, 24.354731965585703, 95.83333333333334, 19.532908704883226,
140, 3205, 1511, 0, 24.619457313037724, 96.875, 19.745222929936304,
141, 3205, 1511, 0, 24.884182660489742, 97.91666666666666, 19.95753715498938,
142, 3205, 1511, 0, 25.14890800794176, 98.95833333333334, 20.169851380042463,
143, 3205, 1511, 0, 25.413633355393777, 100.0, 20.38216560509554,
144, 3837, 2015, 0, 19.255583126550867, 75.78125, 15.445859872611464,
145, 3837, 2015, 0, 19.45409429280397, 76.5625, 15.605095541401273,
146, 3837, 2015, 0, 19.65260545905707, 77.34375, 15.764331210191083,
147, 3837, 2015, 0, 19.851116625310173, 78.125, 15.92356687898089,
148, 3837, 2015, 0, 20.049627791563275, 78.90625, 16.0828025477707,
149, 3837, 2015, 0, 20.248138957816376, 79.6875, 16.24203821656051,
150, 4099, 2015, 0, 20.44665012406948, 80.46875, 16.401273885350317,
151, 4099, 2015, 0, 20.64516129032258, 81.25, 16.560509554140125,
152, 4099, 2015, 0, 20.843672456575682, 82.03125, 16.719745222929934,
153, 4099, 2015, 0, 21.042183622828784, 82.8125, 16.878980891719745,
154, 4099, 2015, 0, 21.240694789081886, 83.59375, 17.038216560509554,
155, 4099, 2015, 0, 21.439205955334987, 84.375, 17.197452229299362,
156, 4099, 2015, 0, 21.63771712158809, 85.15625, 17.35668789808917,
157, 4099, 2015, 0, 21.83622828784119, 85.9375, 17.51592356687898,
158, 4099, 2015, 0, 22.034739454094293, 86.71875, 17.67515923566879,
159, 4099, 2015, 0, 22.233250620347395, 87.5, 17.8343949044586,
160, 4099, 2015, 0, 22.431761786600497, 88.28125, 17.99363057324841,
161, 4099, 2015, 0, 22.8287841191067, 89.84375, 18.312101910828027,
162, 4099, 2015, 0, 23.225806451612904, 91.40625, 18.630573248407643,
163, 4361, 2015, 0, 25.409429280397024, 100.0, 20.38216560509554,
