LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 739.0, 840, 1.0, 725.0, 5376, 63.0, 791.0, 1280, -263.0, -1.0, 210, -787.0, -1.0, 5376, 791.0, 830.0, 1280,
1, 33.0, 345.0, 440, 1.0, 329.0, 2816, 63.0, 395.0, 640, -263.0, -1.0, 220, -525.0, -1.0, 2816, 395.0, 414.0, 640,
2, 33.0, 347.0, 460, 1.0, 329.0, 2944, 63.0, 395.0, 640, -263.0, -1.0, 230, -525.0, -1.0, 2944, 395.0, 414.0, 640,
3, 33.0, 745.0, 960, 1.0, 725.0, 6144, 63.0, 791.0, 1280, -263.0, -1.0, 240, -787.0, -1.0, 6144, 791.0, 830.0, 1280,
4, 33.0, 354.0, 530, 1.0, 329.0, 3392, 63.0, 395.0, 640, -263.0, -1.0, 265, -525.0, -1.0, 3392, 395.0, 414.0, 640,
5, 33.0, 750.0, 1060, 1.0, 725.0, 6784, 63.0, 791.0, 1280, -263.0, -1.0, 265, -787.0, -1.0, 6784, 791.0, 830.0, 1280,
6, 33.0, 751.0, 1080, 1.0, 725.0, 6912, 63.0, 791.0, 1280, -263.0, -1.0, 270, -787.0, -1.0, 6912, 791.0, 830.0, 1280,
7, 33.0, 753.0, 1120, 1.0, 725.0, 7168, 63.0, 791.0, 1280, -263.0, -1.0, 280, -787.0, -1.0, 7168, 791.0, 830.0, 1280,
8, 33.0, 365.0, 640, 1.0, 329.0, 4096, 63.0, 395.0, 640, -263.0, -1.0, 320, -525.0, -1.0, 4096, 395.0, 414.0, 640,
9, 33.0, 1553.0, 2560, 1.0, 1517.0, 16384, 63.0, 1583.0, 2560, -263.0, -1.0, 640, -1835.0, -1.0, 16384, 1583.0, 1662.0, 2560,
10, 33.0, 177.0, 480, 21.0, 146.0, 768, 63.0, 227.0, 1280, -263.0, -1.0, 240, -263.0, -1.0, 768, 227.0, 266.0, 1280,
11, 33.0, 179.0, 560, 19.0, 146.0, 896, 63.0, 227.0, 1280, -263.0, -1.0, 280, -263.0, -1.0, 896, 227.0, 266.0, 1280,
12, 33.0, 181.0, 640, 17.0, 146.0, 1024, 63.0, 227.0, 1280, -263.0, -1.0, 320, -263.0, -1.0, 1024, 227.0, 266.0, 1280,
13, 33.0, 404.0, 1720, 1.0, 374.0, 2752, 63.0, 455.0, 2560, -263.0, -1.0, 860, -525.0, -1.0, 2752, 455.0, 534.0, 2560,
14, 33.0, 405.0, 1760, 1.0, 374.0, 2816, 63.0, 455.0, 2560, -263.0, -1.0, 880, -525.0, -1.0, 2816, 455.0, 534.0, 2560,
15, 33.0, 868.0, 4080, 1.0, 830.0, 6528, 63.0, 911.0, 5120, -263.0, -1.0, 1020, -787.0, -1.0, 6528, 911.0, 1070.0, 5120,
16, 33.0, 414.0, 2120, 1.0, 374.0, 3392, 63.0, 455.0, 2560, -263.0, -1.0, 1060, -525.0, -1.0, 3392, 455.0, 534.0, 2560,
17, 33.0, 870.0, 4240, 1.0, 830.0, 6784, 63.0, 911.0, 5120, -263.0, -1.0, 1060, -787.0, -1.0, 6784, 911.0, 1070.0, 5120,
18, 33.0, 871.0, 4320, 1.0, 830.0, 6912, 63.0, 911.0, 5120, -263.0, -1.0, 1080, -787.0, -1.0, 6912, 911.0, 1070.0, 5120,
19, 33.0, 873.0, 4480, 1.0, 830.0, 7168, 63.0, 911.0, 5120, -263.0, -1.0, 1120, -787.0, -1.0, 7168, 911.0, 1070.0, 5120,
20, 33.0, 877.0, 4800, 1.0, 830.0, 7680, 63.0, 911.0, 5120, -263.0, -1.0, 1200, -787.0, -1.0, 7680, 911.0, 1070.0, 5120,
21, 33.0, 878.0, 4880, 1.0, 830.0, 7808, 63.0, 911.0, 5120, -263.0, -1.0, 1220, -787.0, -1.0, 7808, 911.0, 1070.0, 5120,
22, 33.0, 425.0, 2560, 1.0, 374.0, 4096, 63.0, 455.0, 2560, -263.0, -1.0, 1280, -525.0, -1.0, 4096, 455.0, 534.0, 2560,
23, 33.0, 1793.0, 10240, 1.0, 1742.0, 16384, 63.0, 1823.0, 10240, -263.0, -1.0, 2560, -1835.0, -1.0, 16384, 1823.0, 2142.0, 10240,
24, 33.0, 434.0, 2806, 1.0, 383.0, 3904, 63.0, 467.0, 2944, -263.0, -1.0, 1403, -525.0, -1.0, 3904, 467.0, 558.0, 2944,
25, 33.0, 437.0, 2944, 1.0, 383.0, 4096, 63.0, 467.0, 2944, -263.0, -1.0, 1472, -525.0, -1.0, 4096, 467.0, 558.0, 2944,
26, 33.0, 436.0, 2652, 1.0, 392.0, 3264, 63.0, 479.0, 3328, -263.0, -1.0, 1326, -525.0, -1.0, 3264, 479.0, 582.0, 3328,
27, 33.0, 440.0, 2860, 1.0, 392.0, 3520, 63.0, 479.0, 3328, -263.0, -1.0, 1430, -525.0, -1.0, 3520, 479.0, 582.0, 3328,
28, 33.0, 446.0, 3172, 1.0, 392.0, 3904, 63.0, 479.0, 3328, -263.0, -1.0, 1586, -525.0, -1.0, 3904, 479.0, 582.0, 3328,
29, 33.0, 447.0, 3224, 1.0, 392.0, 3968, 63.0, 479.0, 3328, -263.0, -1.0, 1612, -525.0, -1.0, 3968, 479.0, 582.0, 3328,
30, 33.0, 449.0, 3328, 1.0, 392.0, 4096, 63.0, 479.0, 3328, -263.0, -1.0, 1664, -525.0, -1.0, 4096, 479.0, 582.0, 3328,
31, 33.0, 197.0, 512, 25.0, 158.0, 512, 63.0, 251.0, 2048, -263.0, -1.0, 256, -263.0, -1.0, 512, 251.0, 314.0, 2048,
32, 33.0, 198.0, 576, 24.0, 158.0, 576, 63.0, 251.0, 2048, -263.0, -1.0, 288, -263.0, -1.0, 576, 251.0, 314.0, 2048,
33, 33.0, 199.0, 640, 23.0, 158.0, 640, 63.0, 251.0, 2048, -263.0, -1.0, 320, -263.0, -1.0, 640, 251.0, 314.0, 2048,
34, 33.0, 200.0, 704, 22.0, 158.0, 704, 63.0, 251.0, 2048, -263.0, -1.0, 352, -263.0, -1.0, 704, 251.0, 314.0, 2048,
35, 33.0, 201.0, 768, 21.0, 158.0, 768, 63.0, 251.0, 2048, -263.0, -1.0, 384, -263.0, -1.0, 768, 251.0, 314.0, 2048,
36, 33.0, 202.0, 832, 20.0, 158.0, 832, 63.0, 251.0, 2048, -263.0, -1.0, 416, -263.0, -1.0, 832, 251.0, 314.0, 2048,
37, 33.0, 203.0, 896, 19.0, 158.0, 896, 63.0, 251.0, 2048, -263.0, -1.0, 448, -263.0, -1.0, 896, 251.0, 314.0, 2048,
38, 33.0, 204.0, 960, 18.0, 158.0, 960, 63.0, 251.0, 2048, -263.0, -1.0, 480, -263.0, -1.0, 960, 251.0, 314.0, 2048,
39, 33.0, 205.0, 1024, 17.0, 158.0, 1024, 63.0, 251.0, 2048, -263.0, -1.0, 512, -263.0, -1.0, 1024, 251.0, 314.0, 2048,
40, 33.0, 206.0, 1088, 16.0, 158.0, 1088, 63.0, 251.0, 2048, -263.0, -1.0, 544, -263.0, -1.0, 1088, 251.0, 314.0, 2048,
41, 33.0, 207.0, 1152, 15.0, 158.0, 1152, 63.0, 251.0, 2048, -263.0, -1.0, 576, -263.0, -1.0, 1152, 251.0, 314.0, 2048,
42, 33.0, 208.0, 1216, 14.0, 158.0, 1216, 63.0, 251.0, 2048, -263.0, -1.0, 608, -263.0, -1.0, 1216, 251.0, 314.0, 2048,
43, 33.0, 209.0, 1280, 13.0, 158.0, 1280, 63.0, 251.0, 2048, -263.0, -1.0, 640, -263.0, -1.0, 1280, 251.0, 314.0, 2048,
44, 33.0, 210.0, 1344, 12.0, 158.0, 1344, 63.0, 251.0, 2048, -263.0, -1.0, 672, -263.0, -1.0, 1344, 251.0, 314.0, 2048,
45, 33.0, 211.0, 1408, 11.0, 158.0, 1408, 63.0, 251.0, 2048, -263.0, -1.0, 704, -263.0, -1.0, 1408, 251.0, 314.0, 2048,
46, 33.0, 212.0, 1472, 10.0, 158.0, 1472, 63.0, 251.0, 2048, -263.0, -1.0, 736, -263.0, -1.0, 1472, 251.0, 314.0, 2048,
47, 33.0, 213.0, 1536, 9.0, 158.0, 1536, 63.0, 251.0, 2048, -263.0, -1.0, 768, -263.0, -1.0, 1536, 251.0, 314.0, 2048,
48, 33.0, 214.0, 1600, 8.0, 158.0, 1600, 63.0, 251.0, 2048, -263.0, -1.0, 800, -263.0, -1.0, 1600, 251.0, 314.0, 2048,
49, 33.0, 216.0, 1728, 6.0, 158.0, 1728, 63.0, 251.0, 2048, -263.0, -1.0, 864, -263.0, -1.0, 1728, 251.0, 314.0, 2048,
